Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes,Chosen for Pulverization? (y/n)
11,BO_013,6,62.57,,complete,y
11,BO_015,6,16.05,,complete,y
11,BO_022,5,13.71,,complete,y
11,BO_025,3,,,DNE,
11,BO_025,6,,,incomplete,y
11,BO_025,8,,,DNE,
11,BO_032,1,81.29,,complete,y
11,BO_037,2,,,DNE,
11,BO_046,5,,,incomplete,
11,BO_050,2,,,DNE,
11,BO_051,2,50.58,,complete,y
11,BO_060,7,,,DNE,
11,BO_061,1,28.61,,complete,y
11,BO_066,4,,,incomplete,y
11,BO_067,7,,,DNE,
11,BO_069,6,,,incomplete,y
11,BO_071,4,4.8,,complete,y
11,BO_079,3,,,DNE,
11,BO_082,1,13.39,,complete,y
11,BO_082,4,,,DNE,
11,BO_082,5,,,DNE,
11,BO_099,4,11.67,,complete ,y
11,BO_104,4,53.44,,complete ,y
11,BO_105,4,,,DNE,
11,BO_108,3,,,DNE,
11,BO_115,1,,,incomplete,y
11,BO_117,8,65.36,,complete,y
11,BO_118,6,23.03,,complete,y
11,BO_122,2,,,DNE,
11,BO_130,5,,,incomplete ,y
11,BO_130,6,2.83,,complete,n
11,BO_130,7,,,DNE,
11,BO_134,1,84.36,,complete,y
11,BO_137,1,23.03,,complete ,n
11,BO_137,6,,,"EXCLUDE. lost, not found for pulverization; possibly DNE?",
11,BO_137,7,28.3,,complete,y
11,BO_147,4,,,DNE,
11,BO_015,6,16.05,,complete,y
11,BO_150,2,23.52,,complete ,y
11,BO_152,2,159.18,,complete,y
11,BO_152,3,,,DNE,
11,BO_152,7,278.65,,complete,n
11,BO_159,7,,,incomplete,y
11,BO_175,5,27.98,,Labeled as probably incomplete on envelope. ,y
11,BO_176,6,,,DNE,
11,BO_180,1,48.19,,complete,y
11,BO_182,1,,,DNE,
11,BO_182,2,7.92,,complete,y
11,BO_182,8,13.52,,complete,n
11,BO_200,6,361.97,,complete,y
11,BO_046,5,,,incomplete ,
11,BO_051,2,50.58,,complete,y
11,BO_061,1,28.61,,complete ,y
11,BO_066,4,,,incomplete,
11,BO_069,6,,,incomplete,
11,BO_071,4,4.8,,complete,y
11,BO_082,1,13.39,,complete ,y
11,BO_099,4,11.67,,complete ,y
12,BO_001,8,,,incomplete,y
12,BO_008,1,13.71,,complete,y
12,BO_009,3,164.73,,complete,y
12,BO_001,8,,,incomplete,
12,BO_014,4,,,DNE,
12,BO_020,6,,,incomplete,y
12,BO_029,2,,,incomplete,y
12,BO_048,4,,,incomplete,y
12,BO_048,6,,,incomplete,n
12,BO_086,5,,,DNE,
12,BO_086,7,,,DNE,
12,BO_086,8,,,DNE,
12,BO_009,3,164.73,,complete,y
12,BO_096,1,,,DNE,
12,BO_111,2,,,DNE,
12,BO_114,8,,,incomplete,y
12,BO_132,4,,,incomplete,y
12,BO_141,1,,,DNE,
12,BO_144,2,,,DNE,
12,BO_151,2,96.28,,complete,y
12,BO_151,3,,,incomplete,n
12,BO_151,4,,,incomplete,n
12,BO_153,7,,,DNE,
12,BO_166,1,,,incomplete,y
12,BO_166,4,,,incomplete,n
12,BO_166,6,,,DNE,
12,BO_167,6,,,incomplete,y
12,BO_177,8,,,DNE,
12,BO_186,2,137.02,,complete,y
12,BO_190,1,,,incomplete,y
12,BO_191,4,,,incomplete,y
12,BO_020,6,,,incomplete,
12,BO_029,2,,,incomplete,
12,BO_048,4,,,incomplete,
12,BO_048,6,,,incomplete,
