Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
202,6,23R,G1,AC_165,AC_062,5
203,6,24L,G1,AC_045,AC_151,
203,6,24R,G1,AC_091,AC_189,3
204,6,25L,G2,AC_156,AC_090,1
204,6,25R,G1,AC_207,AC_055,5
205,6,26L,G1,AC_159,AC_143,
205,6,26R,G2,AC_172,AC_208,1
206,6,27L,G2,AC_169,AC_182,2
206,6,27R,G1,AC_107,AC_130,5
207,6,28L,G2,AC_156,AC_016,2
207,6,28R,G2,AC_052,AC_131,5
208,6,29L,G2,AC_064,AC_086,2
208,6,29R,G2,AC_160,AC_186,1
209,6,30L,G2,AC_061,AC_052,3
209,6,30R,G2,AC_061,AC_158,5
210,6,31L,G2,AC_216,AC_034,3
210,6,31R,G1,AC_179,AC_171,5
211,6,32L,G1,AC_102,AC_178,
211,6,32R,G1,AC_096,AC_181,
212,6,33R,G1,AC_169,AC_182,3
213,6,34L,G1,AC_096,AC_128,1
213,6,34R,G2,AC_007,AC_147,4
214,6,35L,G2,AC_170,AC_203,
214,6,35R,G1,AC_170,AC_118,5
215,7,1L,G1,AC_168,AC_142,3
215,7,1R,G1,AC_102,AC_191,
216,7,2L,G2,AC_198,AC_072,5
216,7,2R,G1,AC_150,AC_110,5
217,7,3L,G2,AC_102,AC_191,5
217,7,3R,G2,AC_207,AC_070,1
218,7,4L,G2,AC_007,AC_187,2
218,7,4R,G1,AC_103,AC_201,5
219,7,5L,G1,AC_207,AC_070,
219,7,5R,G1,AC_150,AC_083,
220,7,6L,G2,AC_107,AC_172,2
220,7,6R,G1,AC_125,AC_095,3
221,7,7L,G1,AC_068,AC_056,3
221,7,7R,G1,AC_207,AC_055,3
222,7,8L,G2,AC_177,AC_211,1
222,7,8R,G2,AC_165,AC_199,4
223,7,9L,G1,AC_061,AC_052,3
223,7,9R,G2,AC_091,AC_204,4
224,7,10L,G1,AC_096,AC_074,4
224,7,10R,G1,AC_195,AC_179,5
225,7,11L,G1,AC_179,AC_114,
225,7,11R,G2,AC_150,AC_200,3
226,7,12L,G1,AC_064,AC_017,2
226,7,12R,G2,AC_068,AC_056,1
227,7,13L,G2,AC_094,AC_216,2
227,7,13R,G2,AC_097,AC_054,
228,7,14L,G1,AC_186,AC_048,4
228,7,14R,G2,AC_091,AC_189,1
229,7,15L,G2,AC_161,AC_088,
229,7,15R,G2,AC_002,AC_122,2
230,7,16L,G2,AC_094,AC_217,1
230,7,16R,G2,AC_198,AC_072,
231,7,17L,G1,AC_094,AC_217,
231,7,17R,G1,AC_198,AC_066,5
232,7,18L,G1,AC_008,AC_092,
232,7,18R,G2,AC_168,AC_159,
233,7,19L,G2,AC_186,AC_153,
233,7,19R,G2,AC_054,AC_155,2
234,7,20L,G2,AC_150,AC_110,5
234,7,20R,G1,AC_052,AC_212,
235,7,21L,G1,AC_064,AC_017,
235,7,21R,G2,AC_064,AC_017,3
236,7,22L,G2,AC_198,AC_051,1
236,7,22R,G2,AC_064,AC_086,5
237,7,23L,G2,AC_002,AC_104,1
237,7,23R,G2,AC_089,AC_057,2
238,7,24L,G1,AC_091,AC_218,5
238,7,24R,G2,AC_007,AC_081,1
239,7,25L,G1,AC_179,AC_114,2
239,7,25R,G2,AC_168,AC_010,
240,7,26L,G2,AC_207,AC_082,
240,7,26R,G1,AC_008,AC_092,5
241,7,27L,G2,AC_170,AC_203,
241,7,27R,G2,AC_064,AC_017,5
242,7,28L,G1,AC_045,AC_151,1
242,7,28R,G2,AC_091,AC_189,2
243,7,29L,G2,AC_102,AC_178,4
243,7,29R,G1,AC_094,AC_216,5
244,7,30L,G2,AC_045,AC_096,1
244,7,30R,G1,AC_159,AC_192,
245,7,31L,G2,AC_179,AC_114,2
245,7,31R,G2,AC_045,AC_123,3
246,7,32L,G2,AC_150,AC_083,2
246,7,32R,G2,AC_216,AC_034,2
247,7,33L,G2,AC_094,AC_216,5
247,7,33R,G1,AC_169,AC_075,4
248,7,34L,G1,AC_177,AC_107,5
248,7,34R,G1,AC_207,AC_082,1
249,7,35L,G1,AC_015,AC_097,5
249,7,35R,G2,AC_177,AC_211,1
250,7,36L,G2,AC_061,AC_052,3
250,7,36R,G2,AC_124,AC_030,5
251,8,1L,G2,AC_195,AC_193,1
251,8,1R,G1,AC_186,AC_011,5
252,8,2L,G2,AC_125,AC_038,4
252,8,2R,G2,AC_102,AC_191,1
253,8,3L,G2,AC_039,AC_148,4
253,8,3R,G1,AC_125,AC_038,2
254,8,4L,G2,AC_103,AC_144,
254,8,4R,G2,AC_068,AC_089,3
255,8,5L,G1,AC_052,AC_131,5
255,8,5R,G2,AC_091,AC_218,1
256,8,6L,G1,AC_165,AC_206,1
256,8,6R,G1,AC_160,AC_186,2
257,8,7L,G2,AC_039,AC_148,
257,8,7R,G2,AC_089,AC_057,
258,8,8L,G1,AC_177,AC_211,1
258,8,8R,G2,AC_064,AC_017,1
259,8,9L,G2,AC_170,AC_185,4
259,8,9R,G2,AC_107,AC_172,
260,8,10L,G2,AC_124,AC_100,1
260,8,10R,G2,AC_168,AC_142,2
261,8,11L,G1,AC_091,AC_204,4
261,8,11R,G2,AC_052,AC_212,
262,8,12L,G2,AC_198,AC_066,
262,8,12R,G1,AC_198,AC_072,2
263,8,13L,G2,AC_002,AC_104,
263,8,13R,G1,AC_207,AC_082,2
264,8,14L,G1,AC_195,AC_193,
264,8,14R,G1,AC_096,AC_074,5
265,8,15L,G2,AC_002,AC_160,1
265,8,15R,G1,AC_002,AC_160,1
266,8,16L,G2,AC_052,AC_133,5
266,8,16R,G2,AC_156,AC_005,2
267,8,17L,G1,AC_165,AC_206,4
267,8,17R,G1,AC_150,AC_110,3
268,8,18L,G2,AC_150,AC_200,
268,8,18R,G2,AC_045,AC_123,5
269,8,19L,G1,AC_161,AC_213,
269,8,19R,G1,AC_165,AC_062,4
270,8,20L,G1,AC_124,AC_014,2
270,8,20R,G2,AC_216,AC_058,5
271,8,21L,G2,AC_054,AC_155,4
271,8,21R,G1,AC_071,AC_115,3
272,8,22L,G2,AC_047,AC_113,5
272,8,22R,G1,AC_091,AC_189,3
273,8,23L,G1,AC_008,AC_188,
273,8,23R,G2,AC_061,AC_052,5
274,8,24L,G2,AC_091,AC_218,4
274,8,24R,G2,AC_002,AC_104,5
275,8,25L,G2,AC_172,AC_208,4
275,8,25R,G2,AC_015,AC_097,5
276,8,26L,G2,AC_061,AC_158,1
276,8,26R,G1,AC_159,AC_143,
277,8,27L,G2,AC_045,AC_096,5
277,8,27R,G1,AC_150,AC_083,4
278,8,28L,G2,AC_052,AC_133,3
278,8,28R,G1,AC_168,AC_142,1
279,8,29L,G2,AC_107,AC_130,1
279,8,29R,G1,AC_008,AC_092,5
280,8,30L,G1,AC_047,AC_152,
280,8,30R,G1,AC_124,AC_014,2
281,8,31L,G1,AC_045,AC_151,1
281,8,31R,G1,AC_068,AC_195,
282,8,32L,G2,AC_169,AC_120,2
282,8,32R,G2,AC_124,AC_014,2
283,8,33L,G1,AC_160,AC_015,1
283,8,33R,G2,AC_045,AC_151,2
284,8,34L,G2,AC_054,AC_119,3
284,8,34R,G2,AC_161,AC_088,4
285,8,35L,G1,AC_097,AC_064,4
285,8,35R,G1,AC_169,AC_182,5
286,8,36L,G1,AC_172,AC_111,
286,8,36R,G1,AC_150,AC_200,2
287,9,1L,G2,AC_169,AC_182,4
287,9,1R,G2,AC_216,AC_099,
288,9,2L,G2,AC_156,AC_090,2
288,9,2R,G1,AC_091,AC_218,3
289,9,3L,G1,AC_094,AC_217,4
289,9,3R,G2,AC_015,AC_097,1
290,9,4L,G1,AC_061,AC_158,1
290,9,4R,G1,AC_124,AC_100,3
291,9,5L,G1,AC_170,AC_118,1
291,9,5R,G1,AC_015,AC_097,5
292,9,6L,G1,AC_103,AC_201,3
292,9,6R,G1,AC_198,AC_066,1
293,9,7L,G1,AC_172,AC_040,3
293,9,7R,G1,AC_172,AC_208,5
294,9,8L,G2,AC_089,AC_032,
294,9,8R,G2,AC_039,AC_168,1
295,9,9L,G2,AC_124,AC_100,
295,9,9R,G1,AC_150,AC_110,1
296,9,10L,G1,AC_160,AC_015,4
296,9,10R,G1,AC_054,AC_155,2
297,9,11L,G2,AC_160,AC_015,1
297,9,11R,G2,AC_103,AC_154,5
298,9,12L,G2,AC_071,AC_115,1
298,9,12R,G2,AC_008,AC_092,2
299,9,13L,G2,AC_002,AC_122,4
299,9,13R,G2,AC_186,AC_048,4
300,9,14L,G2,AC_096,AC_074,5
300,9,14R,G2,AC_177,AC_211,1
301,9,15L,G2,AC_091,AC_218,1
301,9,15R,G1,AC_159,AC_143,
302,9,16L,G2,AC_207,AC_082,1
302,9,16R,G1,AC_047,AC_152,
303,9,17L,G2,AC_186,AC_153,1
303,9,17R,G2,AC_124,AC_030,
304,9,18L,G1,AC_159,AC_192,
304,9,18R,G2,AC_198,AC_051,5
305,9,19L,G1,AC_156,AC_090,3
305,9,19R,G2,AC_125,AC_095,
306,9,20L,G1,AC_165,AC_199,2
306,9,20R,G2,AC_103,AC_201,
307,9,21L,G1,AC_216,AC_034,2
307,9,21R,G2,AC_207,AC_070,5
308,9,22L,G2,AC_165,AC_062,
308,9,22R,G2,AC_094,AC_217,4
309,9,23L,G1,AC_007,AC_081,4
309,9,23R,G2,AC_002,AC_122,
310,9,24L,G2,AC_159,AC_143,
310,9,24R,G1,AC_045,AC_096,
311,9,25L,G1,AC_054,AC_155,5
311,9,25R,G1,AC_168,AC_010,
312,9,26L,G2,AC_008,AC_092,2
312,9,26R,G2,AC_160,AC_186,1
313,9,27L,G1,AC_160,AC_015,3
313,9,27R,G2,AC_195,AC_193,
314,9,28L,G2,AC_169,AC_075,5
314,9,28R,G1,AC_195,AC_193,3
315,9,29L,G1,AC_096,AC_128,2
315,9,29R,G2,AC_195,AC_179,1
316,9,30L,G2,AC_015,AC_097,5
316,9,30R,G2,AC_179,AC_136,
317,9,31L,G1,AC_179,AC_136,4
