Location,Sequence,SegPos,Gen,Donor,Recipient,Fit_plant,latitude,longitude
53,159,159L,G1,BB_175,BB_104,1,38.31435,-123.06964
53,159,159R,G1,BB_057,BB_146,2,38.31435,-123.06964
54,160,160L,G1,BB_073,BB_064,5,38.31435,-123.06971
54,160,160R,G2,BB_167,BB_114,4,38.31435,-123.06971
54,161,161L,G2,BB_197,BB_060,2,38.31435,-123.06971
54,161,161R,G1,BB_141,BB_037,3,38.31435,-123.06971
54,162,162L,G1,BB_202,BB_101,5,38.31435,-123.06971
54,162,162R,G1,BB_130,BB_048,4,38.31435,-123.06971
55,163,163L,G1,BB_197,BB_211,5,38.3144,-123.06969
55,163,163R,G1,BB_167,BB_114,2,38.3144,-123.06969
55,164,164L,G2,BB_051,BB_143,4,38.3144,-123.06969
55,164,164R,G1,BB_075,BB_079,3,38.3144,-123.06969
55,165,165L,G1,BB_005,BB_166,,38.3144,-123.06969
55,165,165R,G1,BB_073,BB_092,2,38.3144,-123.06969
56,166,166L,G1,BB_001,BB_074,3,38.31441,-123.06973
56,166,166R,G1,BB_182,BB_103,,38.31441,-123.06973
56,167,167L,G2,BB_047,BB_131,1,38.31441,-123.06973
56,167,167R,G1,BB_176,BB_059,3,38.31441,-123.06973
56,168,168L,G1,BB_028,BB_109,3,38.31441,-123.06973
56,168,168R,G1,BB_144,BB_030,1,38.31441,-123.06973
57,169,169L,G2,BB_182,BB_103,1,38.31439,-123.06978
57,169,169R,G2,BB_177,BB_117,1,38.31439,-123.06978
57,170,170L,G1,BB_177,BB_117,3,38.31439,-123.06978
57,170,170R,G2,BB_169,BB_076,5,38.31439,-123.06978
57,171,171L,G1,BB_051,BB_118,3,38.31439,-123.06978
57,171,171R,G1,BB_144,BB_030,4,38.31439,-123.06978
58,172,172L,G1,BB_197,BB_211,4,38.31446,-123.06974
58,172,172R,G1,BB_011,BB_056,1,38.31446,-123.06974
58,173,173L,G1,BB_142,BB_093,2,38.31446,-123.06974
58,173,173R,G2,BB_055,BB_145,4,38.31446,-123.06974
58,174,174L,G2,BB_198,BB_045,4,38.31446,-123.06974
58,174,174R,G1,BB_122,BB_027,4,38.31446,-123.06974
59,175,175L,G2,BB_005,BB_166,4,38.31446,-123.06979
59,175,175R,G1,BB_065,BB_013,1,38.31446,-123.06979
59,176,176L,G1,BB_066,BB_019,1,38.31446,-123.06979
59,176,176R,G1,BB_091,BB_098,,38.31446,-123.06979
59,177,177L,G2,BB_196,BB_089,2,38.31446,-123.06979
59,177,177R,G1,BB_197,BB_199,4,38.31446,-123.06979
60,178,178L,G1,BB_001,BB_072,5,38.31443,-123.06982000000001
60,178,178R,G1,BB_173,BB_170,4,38.31443,-123.06982000000001
60,179,179L,G2,BB_026,BB_053,,38.31443,-123.06982000000001
60,179,179R,G2,BB_066,BB_019,5,38.31443,-123.06982000000001
60,180,180L,G1,BB_047,BB_071,,38.31443,-123.06982000000001
60,180,180R,G1,BB_175,BB_172,5,38.31443,-123.06982000000001
61,181,181L,G2,BB_142,BB_150,2,38.31451,-123.06982000000001
61,181,181R,G1,BB_215,BB_210,4,38.31451,-123.06982000000001
61,182,182L,G1,BB_141,BB_029,,38.31451,-123.06982000000001
61,182,182R,G1,BB_015,BB_218,1,38.31451,-123.06982000000001
61,183,183L,G1,BB_065,BB_133,2,38.31451,-123.06982000000001
61,183,183R,G1,BB_028,BB_083,,38.31451,-123.06982000000001
62,184,184L,G2,BB_066,BB_052,4,38.31448,-123.06985
62,184,184R,G1,BB_099,BB_161,1,38.31448,-123.06985
62,185,185L,G1,BB_015,BB_111,1,38.31448,-123.06985
62,185,185R,G1,BB_168,BB_058,3,38.31448,-123.06985
62,186,186L,G2,BB_176,BB_017,3,38.31448,-123.06985
62,186,186R,G1,BB_142,BB_093,3,38.31448,-123.06985
63,187,187L,G2,BB_107,BB_123,2,38.31446,-123.06985
63,187,187R,G1,BB_047,BB_131,3,38.31446,-123.06985
63,188,188L,G1,BB_167,BB_110,,38.31446,-123.06985
63,188,188R,G1,BB_122,BB_208,2,38.31446,-123.06985
63,189,189L,G1,BB_005,BB_034,4,38.31446,-123.06985
63,189,189R,G1,BB_215,BB_210,2,38.31446,-123.06985
64,190,190L,G1,BB_202,BB_025,3,38.31446,-123.06989
64,190,190R,G1,BB_066,BB_052,5,38.31446,-123.06989
64,191,191L,G1,BB_173,BB_095,1,38.31446,-123.06989
64,191,191R,G1,BB_142,BB_086,4,38.31446,-123.06989
64,192,192L,G1,BB_100,BB_113,5,38.31446,-123.06989
64,192,192R,G1,BB_217,BB_016,5,38.31446,-123.06989
65,193,193L,G1,BB_073,BB_084,3,38.31443,-123.06989
65,193,193R,G1,BB_198,BB_138,,38.31443,-123.06989
65,194,194L,G1,BB_115,BB_077,2,38.31443,-123.06989
65,194,194R,G2,BB_065,BB_133,,38.31443,-123.06989
65,195,195L,G2,BB_188,BB_009,,38.31443,-123.06989
65,195,195R,G1,BB_169,BB_160,5,38.31443,-123.06989
66,196,196L,G1,BB_014,BB_185,1,38.31441,-123.06989
66,196,196R,G2,BB_202,BB_101,,38.31441,-123.06989
66,197,197L,G2,BB_142,BB_093,3,38.31441,-123.06989
66,197,197R,G1,BB_168,BB_081,1,38.31441,-123.06989
66,198,198L,G1,BB_171,BB_157,5,38.31441,-123.06989
66,198,198R,G2,BB_217,BB_205A,5,38.31441,-123.06989
67,199,199L,G2,BB_169,BB_160,1,38.31436,-123.06985
67,199,199R,G1,BB_047,BB_193,1,38.31436,-123.06985
67,200,200L,G1,BB_175,BB_050,4,38.31436,-123.06985
67,200,200R,G1,BB_182,BB_201,2,38.31436,-123.06985
67,201,201L,G1,BB_099,BB_032,3,38.31436,-123.06985
67,201,201R,G1,BB_142,BB_150,5,38.31436,-123.06985
