Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
271,9,22L,G1,BO_033,BO_143,
271,9,22R,G2,BO_001,BO_025,5
272,9,23L,G1,BO_073,BO_186,1
272,9,23R,G1,BO_188,BO_052,2
273,9,24L,G2,BO_029,BO_061,4
273,9,24R,G1,BO_149,BO_106,1
274,9,25L,G1,BO_170,BO_111,4
274,9,25R,G1,BO_022,BO_009,5
275,9,26L,G1,BO_029,BO_090,
275,9,26R,G2,BO_106,BO_131,
276,9,27L,G2,BO_192,BO_166,5
276,9,27R,G1,BO_088,BO_169,2
277,9,28L,G1,BO_151,BO_167,
277,9,28R,G1,BO_040,BO_067,
278,9,29L,G2,BO_069,BO_145,
278,9,29R,G1,BO_058,BO_123,
279,9,30L,G2,BO_039,BO_102,
279,9,30R,G2,BO_199,BO_018,1
280,10,1L,G1,BO_173,BO_091,
280,10,1R,G2,BO_173,BO_079,
281,10,2L,G2,BO_070,BO_184,3
281,10,2R,G2,BO_189,BO_142,5
282,10,3L,G2,BO_070,BO_184,
282,10,3R,G2,BO_201,BO_199,3
283,10,4L,G2,BO_038,BO_137,
283,10,4R,G1,BO_070,BO_184,5
284,10,5L,G1,BO_005,BO_122,
284,10,5R,G1,BO_074,BO_047,
285,10,6L,G2,BO_149,BO_032,3
285,10,6R,G1,BO_188,BO_052,
286,10,7L,G2,BO_065,BO_115,4
286,10,7R,G1,BO_038,BO_149,2
287,10,8L,G1,BO_189,BO_142,1
287,10,8R,G1,BO_119,BO_013,4
288,10,9L,G1,BO_005,BO_019,5
288,10,9R,G2,BO_162,BO_089,5
289,10,10L,G2,BO_192,BO_127,
289,10,10R,G2,BO_033,BO_143,1
290,10,11L,G2,BO_170,BO_055,
290,10,11R,G1,BO_143,BO_152,
291,10,12L,G2,BO_168,BO_180,1
291,10,12R,G1,BO_188,BO_008,5
292,10,13L,G1,BO_088,BO_169,
292,10,13R,G1,BO_128,BO_060,1
293,10,14L,G1,BO_109,BO_095,4
293,10,14R,G1,BO_096,BO_012,3
294,10,15L,G2,BO_188,BO_154,
294,10,15R,G2,BO_194,BO_125,5
295,10,16L,G1,BO_022,BO_146,5
295,10,16R,G2,BO_038,BO_137,
296,10,17L,G1,BO_001,BO_151,
296,10,17R,G2,BO_173,BO_079,3
297,10,18L,G1,BO_032,BO_096,
297,10,18R,G1,BO_073,BO_186,4
298,10,19L,G1,BO_073,BO_070,
298,10,19R,G1,BO_162,BO_108,3
299,10,20L,G2,BO_119,BO_017,
299,10,20R,G1,BO_201,BO_130,
300,10,21L,G1,BO_162,BO_108,
300,10,21R,G2,BO_001,BO_151,
301,10,22L,G2,BO_109,BO_001,3
301,10,22R,G2,BO_074,BO_118,
302,10,23L,G1,BO_194,BO_037,5
302,10,23R,G1,BO_194,BO_098,2
303,10,24L,G2,BO_033,BO_099,
303,10,24R,G2,BO_001,BO_025,4
304,10,25L,G1,BO_198,BO_100,
304,10,25R,G2,BO_153,BO_177,2
305,10,26L,G1,BO_070,BO_184,5
305,10,26R,G1,BO_040,BO_171,1
306,10,27L,G2,BO_096,BO_134,
306,10,27R,G1,BO_183,BO_063,
307,10,28L,G1,BO_005,BO_176,1
307,10,28R,G1,BO_096,BO_178,
308,10,29L,G1,BO_069,BO_145,
308,10,29R,G1,BO_168,BO_180,3
309,10,30L,G2,BO_032,BO_088,1
309,10,30R,G1,BO_199,BO_018,4
310,10,31L,G1,BO_188,BO_154,
