Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
177,4,42L,G2,HR_157,HR_085,4
177,4,42R,G2,HR_156,HR_025,2
178,4,43L,G2,HR_135,HR_004,3
178,4,43R,G1,HR_064,HR_028,5
179,4,44L,G2,HR_095,HR_124,4
179,4,44R,G2,HR_195,HR_181,1
180,4,45L,G2,HR_005,HR_180,5
180,4,45R,G1,HR_149,HR_065,2
181,5,1L,G2,HR_147,HR_118,3
181,5,1R,G1,HR_175,HR_196,5
182,5,2L,G1,HR_034,HR_112,4
182,5,2R,G1,HR_164,HR_201,3
183,5,3L,G1,HR_002,HR_059,1
183,5,3R,G1,HR_006,HR_146,5
184,5,4L,G2,HR_002,HR_071,2
184,5,4R,G2,HR_027,HR_145,4
185,5,5L,G1,HR_141,HR_044,3
185,5,5R,G1,HR_066,HR_078,1
186,5,6L,G1,HR_200,HR_153,4
186,5,6R,G1,HR_196,HR_054,2
187,5,7L,G1,HR_121,HR_139,1
187,5,7R,G1,HR_090,HR_126,4
188,5,8L,G1,HR_125,HR_034,
188,5,8R,G1,HR_070,HR_061,1
189,5,9L,G1,HR_090,HR_053,2
189,5,9R,G1,HR_064,HR_028,3
190,5,10L,G2,HR_059,HR_011,5
190,5,10R,G1,HR_156,HR_197,3
191,5,11L,G1,HR_196,HR_170,1
191,5,11R,G1,HR_171,HR_073,2
192,5,12L,G2,HR_070,HR_061,5
192,5,12R,G2,HR_139,HR_127,
193,5,13L,G1,HR_160,HR_173,5
193,5,13R,G1,HR_160,HR_079,5
194,5,14L,G2,HR_200,HR_159,3
194,5,14R,G1,HR_066,HR_137,1
195,5,15L,G1,HR_160,HR_173,5
195,5,15R,G2,HR_171,HR_057,3
196,5,16L,G1,HR_121,HR_141,1
196,5,16R,G1,HR_008,HR_012,3
197,5,17L,G1,HR_057,HR_110,5
197,5,17R,G2,HR_008,HR_042,1
198,5,18L,G2,HR_090,HR_103,1
198,5,18R,G1,HR_157,HR_085,5
199,5,19L,G1,HR_059,HR_155,4
199,5,19R,G2,HR_008,HR_042,5
200,5,20L,G1,HR_005,HR_040,2
200,5,20R,G2,HR_070,HR_165,4
201,5,21L,G2,HR_100,HR_192,3
201,5,21R,G1,HR_180,HR_179,4
202,5,22L,G2,HR_148,HR_109,1
202,5,22R,G1,HR_121,HR_141,3
203,5,23L,G2,HR_069,HR_108,1
203,5,23R,G1,HR_110,HR_037,4
204,5,24L,G1,HR_168,HR_101,5
204,5,24R,G2,HR_135,HR_004,5
205,5,25L,G2,HR_095,HR_124,3
205,5,25R,G2,HR_141,HR_184,4
206,5,26L,G1,HR_053,HR_092,5
206,5,26R,G2,HR_189,HR_168,3
207,5,27L,G2,HR_147,HR_150,1
207,5,27R,G1,HR_005,HR_040,2
208,5,28L,G1,HR_070,HR_061,
208,5,28R,G2,HR_085,HR_035,2
209,5,29L,G2,HR_196,HR_054,5
209,5,29R,G1,HR_148,HR_114,1
210,5,30L,G1,HR_141,HR_184,2
210,5,30R,G2,HR_160,HR_033,1
211,5,31L,G1,HR_171,HR_057,1
211,5,31R,G2,HR_139,HR_129,4
212,5,32L,G2,HR_069,HR_133,4
212,5,32R,G1,HR_070,HR_165,4
213,5,33L,G2,HR_057,HR_147,1
213,5,33R,G2,HR_027,HR_043,1
214,5,34L,G2,HR_074,HR_115,2
214,5,34R,G1,HR_059,HR_155,4
215,5,35L,G2,HR_121,HR_105,3
215,5,35R,G2,HR_148,HR_109,5
216,5,36L,G2,HR_110,HR_032,4
216,5,36R,G2,HR_147,HR_150,1
217,5,37L,G2,HR_189,HR_018,3
217,5,37R,G1,HR_189,HR_051,4
218,5,38L,G1,HR_069,HR_108,3
218,5,38R,G2,HR_156,HR_193,3
219,5,39L,G1,HR_034,HR_080,3
219,5,39R,G2,HR_171,HR_001,5
220,5,40L,G2,HR_160,HR_173,4
220,5,40R,G1,HR_062,HR_134,3
221,5,41L,G2,HR_115,HR_131,5
221,5,41R,G2,HR_064,HR_028,1
222,5,42L,G2,HR_189,HR_051,5
222,5,42R,G2,HR_053,HR_038,3
223,5,43L,G1,HR_027,HR_119,3
223,5,43R,G1,HR_070,HR_123,3
224,5,44L,G2,HR_100,HR_135,5
224,5,44R,G1,HR_135,HR_083,1
225,5,45L,G2,HR_090,HR_103,2
225,5,45R,G1,HR_133,HR_161,1
226,6,1L,G2,HR_108,HR_177,4
226,6,1R,G1,HR_141,HR_015,4
227,6,2L,G2,HR_070,HR_123,5
227,6,2R,G1,HR_139,HR_062,4
228,6,3L,G2,HR_139,HR_129,5
228,6,3R,G1,HR_002,HR_056,3
229,6,4L,G1,HR_155,HR_121,5
229,6,4R,G2,HR_034,HR_080,1
230,6,5L,G1,HR_131,HR_049,4
230,6,5R,G2,HR_034,HR_017,5
231,6,6L,G1,HR_027,HR_119,4
