Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
7,HR_023,G2,1,28R,,
7,HR_113,G2,5,29L,,
7,HR_176,G1,3,29R,,
7,HR_161,G2,5,30L,,
7,HR_148,G2,5,30R,,
7,HR_014,G1,5,31L,,
7,HR_049,G2,2,31R,,
7,HR_101,G1,1,32L,,
7,HR_184,G2,1,32R,,
7,HR_113,G1,5,33L,,
7,HR_161,G1,2,33R,,
7,HR_114,G2,1,34L,,
7,HR_193,G1,4,34R,,
7,HR_168,G1,1,35L,,
7,HR_197,G2,5,35R,,
7,HR_057,G2,2,36L,,
7,HR_088,G1,3,36R,,
7,HR_059,G2,2,37L,,
7,HR_195,G2,2,38L,,
7,HR_066,G2,4,38R,,
7,HR_169,G1,2,39L,,
7,HR_068,G1,2,39R,,
7,HR_197,G2,4,40L,,
7,HR_012,G1,3,40R,,
7,HR_007,G2,4,41L,,
7,HR_040,G1,2,41R,,
7,HR_018,G2,3,42L,,
7,HR_159,G1,2,42R,,
7,HR_087,G1,4,43L,,
7,HR_129,G2,2,43R,,
7,HR_053,G1,1,44R,,
7,HR_059,G2,4,45L,,
7,HR_183,G1,1,45R,,
8,HR_103,G1,5,1L,,
8,HR_147,G2,2,1R,,
8,HR_011,G2,1,2L,,
8,HR_001,G1,2,2R,,
8,HR_145,G1,2,3L,,
8,HR_114,G1,4,3R,,
8,HR_109,G1,1,4L,,
8,HR_155,G2,4,4R,,
8,HR_011,G1,3,5L,,
8,HR_014,G2,1,6L,,
8,HR_073,G1,5,6R,,
8,HR_046,G1,1,7L,,
8,HR_105,G1,4,7R,,
8,HR_113,G1,3,8L,,
8,HR_046,G2,3,8R,,
8,HR_176,G2,4,9L,,
8,HR_001,G2,4,9R,,
8,HR_079,G1,4,10L,,
8,HR_010,G1,5,10R,,
8,HR_158,G2,5,11L,,
8,HR_183,G2,5,11R,,
8,HR_059,G2,3,12L,,
8,HR_078,G2,3,12R,,
8,HR_005,G1,4,13L,,
8,HR_023,G1,3,13R,,
8,HR_080,G1,4,14L,,
8,HR_018,G1,3,14R,,
8,HR_196,G1,1,15L,,
8,HR_159,G1,4,15R,,
8,HR_095,G2,2,16L,,
8,HR_078,G1,1,16R,,
8,HR_165,G1,5,17L,,
8,HR_168,G1,1,17R,,
8,HR_016,G2,1,18L,,
8,HR_170,G2,4,18R,,
8,HR_116,G2,5,19L,,
8,HR_086,G2,2,19R,,
8,HR_079,G2,3,20R,,
8,HR_085,G1,3,21R,,
8,HR_040,G2,3,22L,,
8,HR_068,G1,2,22R,,
8,HR_041,G2,1,23L,,
8,HR_118,G1,2,23R,,
8,HR_047,G2,4,24L,,
8,HR_156,G2,5,24R,,
8,HR_121,G2,1,25L,,
8,HR_019,G2,1,25R,,
8,HR_035,G1,2,26L,,
8,HR_149,G1,3,26R,,
8,HR_019,G2,3,27L,,
8,HR_027,G2,1,27R,,
8,HR_004,G1,2,28L,,
8,HR_035,G1,5,29L,,
8,HR_164,G2,2,29R,,
8,HR_123,G1,5,30L,,
8,HR_070,G1,2,30R,,
8,HR_190,G1,5,31L,,
8,HR_153,G2,1,31R,,
8,HR_032,G2,2,32L,,
8,HR_056,G2,4,32R,,
8,HR_175,G2,2,33L,,
8,HR_126,G1,2,33R,,
8,HR_169,G2,1,34L,,
8,HR_124,G1,5,34R,,
8,HR_183,G1,3,35R,,
8,HR_006,G2,1,36L,,
8,HR_131,G1,2,36R,,
8,HR_152,G2,5,37L,,
8,HR_064,G2,4,37R,,
8,HR_107,G1,3,38L,,
8,HR_111,G2,1,38R,,
8,HR_064,G2,5,39L,,
8,HR_044,G1,2,39R,,
8,HR_178,G2,3,40L,,
8,HR_062,G1,5,40R,,
8,HR_101,G2,4,41L,,
8,HR_175,G2,5,41R,,
8,HR_129,G1,2,42L,,
8,HR_152,G1,5,42R,,
8,HR_027,G1,4,43L,,
8,HR_146,G2,4,43R,,
8,HR_085,G2,4,44L,,
8,HR_083,G1,1,44R,,
8,HR_033,G1,1,45L,,
8,HR_028,G1,2,45R,,
9,HR_190,G1,2,1L,,
9,HR_020,G1,3,1R,,
9,HR_001,G1,3,2L,,
9,HR_196,G2,2,2R,,
9,HR_019,G1,2,3R,,
9,HR_148,G2,5,4L,,
9,HR_086,G2,1,4R,,
9,HR_035,G2,3,5L,,
9,HR_039,G1,4,5R,,
9,HR_034,G2,5,6L,,
9,HR_025,G1,3,7L,,
9,HR_080,G2,2,7R,,
9,HR_021,G2,1,8L,,
9,HR_118,G1,3,8R,,
9,HR_032,G1,5,9L,,
9,HR_009,G1,4,9R,,
9,HR_015,G2,5,10L,,
9,HR_137,G2,1,10R,,
9,HR_064,G1,4,11L,,
9,HR_105,G2,5,11R,,
9,HR_114,G2,2,12L,,
9,HR_053,G2,1,13L,,
9,HR_139,G1,3,13R,,
9,HR_161,G1,1,14L,,
9,HR_159,G2,4,14R,,
9,HR_115,G2,5,15L,,
9,HR_092,G2,4,15R,,
9,HR_174,G2,4,16L,,
9,HR_116,G2,2,16R,,
9,HR_133,G1,4,17L,,
9,HR_038,G2,1,17R,,
9,HR_103,G2,3,18L,,
9,HR_121,G1,1,18R,,
9,HR_023,G1,3,19L,,
9,HR_021,G1,3,19R,,
9,HR_016,G1,3,20L,,
9,HR_141,G2,4,20R,,
9,HR_027,G1,1,21L,,
9,HR_086,G1,2,21R,,
9,HR_126,G1,3,22L,,
9,HR_009,G2,4,22R,,
9,HR_054,G1,1,23L,,
9,HR_127,G1,4,23R,,
9,HR_131,G1,1,24L,,
9,HR_176,G2,4,24R,,
9,HR_112,G2,2,25L,,
9,HR_136,G2,5,25R,,
9,HR_141,G2,2,26L,,
9,HR_150,G1,3,26R,,
9,HR_050,G1,5,27L,,
9,HR_057,G1,4,27R,,
9,HR_148,G1,3,28L,,
9,HR_148,G2,5,28R,,
9,HR_162,G2,2,29L,,
9,HR_046,G2,3,29R,,
9,HR_147,G2,1,30L,,
9,HR_141,G2,5,30R,,
9,HR_136,G1,5,31L,,
9,HR_043,G1,5,31R,,
9,HR_037,G2,3,32L,,
9,HR_020,G2,5,32R,,
9,HR_061,G2,4,33L,,
9,HR_050,G2,1,33R,,
9,HR_169,G2,2,34L,,
9,HR_155,G2,5,34R,,
9,HR_201,G1,5,35L,,
9,HR_012,G1,4,35R,,
9,HR_085,G1,2,36R,,
9,HR_064,G1,4,37L,,
9,HR_180,G2,1,38L,,
9,HR_051,G2,3,38R,,
9,HR_092,G2,3,39L,,
9,HR_131,G2,2,39R,,
9,HR_041,G1,4,40L,,
9,HR_105,G2,4,40R,,
9,HR_201,G2,3,41L,,
9,HR_109,G1,1,41R,,
9,HR_152,G1,1,42R,,
9,HR_058,G1,3,43L,,
9,HR_092,G2,1,43R,,
9,HR_043,G2,2,44L,,
9,HR_113,G2,3,44R,,
9,HR_166,G2,5,45L,,
9,HR_177,G1,2,45R,,
9,HR_038,G1,3,46R,,
