Block,Transect,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
3,11,BO_168,BO_175,0,6,1,0,0.25,0,1.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,1.0125523012552302,0,2.0166666666666666,0,0.5148936170212766
3,11,BO_168,BO_180,5,1,1,5,0.75,3.75,0.75,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,1.1221081472132006,0.5062761506276151,0.8028280692480508,0.33611111111111114,2.278225806451613,1.54468085106383
3,11,BO_173,BO_079,0,5,5,0,0.125,0,0.625,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.42189679218967924,0,1.6805555555555556,0,0.2574468085106383
3,11,BO_177,BO_147,NA,0,0,NA,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,NA,1.0297872340425531
3,11,BO_185,BO_071,5,2,2,5,0.125,0.625,0.25,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.18701802453553343,0.1687587168758717,0.8028280692480508,0.6722222222222223,2.278225806451613,0.2574468085106383
3,11,BO_187,BO_150,NA,0,0,0,0.75,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.54468085106383
3,11,BO_194,BO_037,NA,0,0,NA,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,NA,1.0297872340425531
3,11,BO_198,BO_159,0,13,1,0,0.25,0,3.25,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,2.193863319386332,0,4.3694444444444445,0,0.5148936170212766
3,11,BO_199,BO_015,7,2,2,7,0.5,3.5,1,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,1.0473009373989872,0.6750348675034868,1.1239592969472711,0.6722222222222223,3.1895161290322585,1.0297872340425531
3,11,BO_199,BO_069,1,3,3,1,0.125,0.125,0.375,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.03740360490710668,0.25313807531380755,0.16056561384961016,1.0083333333333333,0.4556451612903226,0.2574468085106383
