,Site:  Angelo Coast 2021-22,,,,,Plant ID,,,,,,,,,
Block (1-3),Transect (1-9),Sequence (1-321),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10
1,3,79,AC_172,AC_208,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,3,79,AC_172,AC_208,Flow Date,,,,,,,,,,
1,3,80,AC_47,AC_113,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,2022-12-05,,2022-12-05
1,3,80,AC_47,AC_113,Flow Date,,,,,,,,,,
1,3,81,AC_169,AC_75,Germ Date,2022-12-05,,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,3,81,AC_169,AC_75,Flow Date,,,,,,Dead 12/5,,,,
1,3,82,AC_156,AC_16,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,
1,3,82,AC_156,AC_16,Flow Date,,,,,,,,,,
1,3,83,AC_195,AC_179,Germ Date,2022-12-05,,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-11-03
1,3,83,AC_195,AC_179,Flow Date,,,,,,,,,,
1,3,84,AC_007,AC_187,Germ Date,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,3,84,AC_007,AC_187,Flow Date,Dead 12/5,,,,,,,,,Dead 12/5
1,3,85,AC_8,AC_188,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,,,
1,3,85,AC_8,AC_188,Flow Date,,,,,Dead 12/5,,,,,
1,3,86,AC_007,AC_147,Germ Date,,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05
1,3,86,AC_007,AC_147,Flow Date,,,,,,,,,,
1,3,87,AC_103,AC_201,Germ Date,2022-11-03,2022-11-03,2022-12-05,,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05
1,3,87,AC_103,AC_201,Flow Date,,Dead 12/5,,,,,,,,
1,3,88,AC_94,AC_216,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,3,88,AC_94,AC_216,Flow Date,,,,,,,,,,
1,3,89,AC_172,AC_40,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05
1,3,89,AC_172,AC_40,Flow Date,,,,,,,,,,
1,3,90,AC_007,AC_81,Germ Date,2022-12-05,2022-11-03,2022-11-03,,2022-11-03,2022-11-03,,2022-11-03,2022-11-03,2022-12-05
1,3,90,AC_007,AC_81,Flow Date,,,,,,,,,,
1,3,91,AC_125,AC_95,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03
1,3,91,AC_125,AC_95,Flow Date,,,Dead 12/5,,,,,,,
1,3,92,AC_002,AC_122,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,3,92,AC_002,AC_122,Flow Date,,,,,,,,,,
1,3,93,AC_103,AC_154,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05
1,3,93,AC_103,AC_154,Flow Date,,,,,,,,,,
1,3,94,AC_156,AC_90,Germ Date,,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,
1,3,94,AC_156,AC_90,Flow Date,,,,,,,Dead 12/5,,,
1,3,95,AC_52,AC_133,Germ Date,,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,,
1,3,95,AC_52,AC_133,Flow Date,,,Dead 12/5,,,,,,,
1,3,96,AC_54,AC_155,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,
1,3,96,AC_54,AC_155,Flow Date,,,,,,,,,,
1,3,97,AC_94,AC_217,Germ Date,2022-11-03,2022-12-05,2022-11-03,,2022-12-05,2022-12-05,,2022-11-03,2022-11-03,
1,3,97,AC_94,AC_217,Flow Date,,,,,,,,,,
1,3,98,AC_97,AC_64,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05
1,3,98,AC_97,AC_64,Flow Date,,,,,Dead 12/5,,,,,
1,3,99,AC_54,AC_119,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05
1,3,99,AC_54,AC_119,Flow Date,,,,,,,,,,
1,3,100,AC_71,AC_115,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,,2022-12-05
1,3,100,AC_71,AC_115,Flow Date,,,,,,,,,,
1,3,101,AC_159,AC_192,Germ Date,,,,,2022-12-05,2022-12-05,,,,
1,3,101,AC_159,AC_192,Flow Date,,,,,,,,,,
