Site: Blue Oak 2021-22,,,,,,,,,,
Block (1-3),Transect (1-14),Sequence (1-396),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds planting 2021,Number seeds per block
3,10,304,15,10,6,BO_201,BO_189,100,50,16.66666667
3,10,305,15,11,2,BO_189,BO_126,155,77,25.66666667
3,10,306,15,12,5,BO_143,BO_195,100,50,16.66666667
3,10,307,15,13,5,BO_188,BO_52,100,50,16.66666667
3,10,308,15,14,5,BO_173,BO_54,100,50,16.66666667
3,10,309,15,15,5,BO_109,BO_28,100,50,16.66666667
3,10,310,15,16,6,BO_69,BO_201,99,49,16.33333333
3,10,311,15,17,6,BO_40,BO_171,100,50,16.66666667
3,10,312,15,18,5,BO_173,BO_91,100,50,16.66666667
3,10,313,15,19,1,BO_128,BO_44,109,54,18
3,10,314,15,20,2,BO_177,BO_121,116,58,19.33333333
3,10,315,15,21,5,BO_65,BO_78,100,50,16.66666667
3,10,316,16,1,2,BO_096,BO_178,254,127,42.33333333
3,10,317,16,2,2,BO_187,BO_31,145,72,24
3,10,318,16,3,5,BO_70,BO_184,99,49,16.33333333
3,10,319,16,4,6,BO_153,BO_157,100,50,16.66666667
3,10,320,16,5,4,BO_170,BO_55,33,16,5.333333333
3,10,321,16,6,2,BO_189,BO_142,135,67,22.33333333
3,10,322,16,7,6,BO_183,BO_63,100,50,16.66666667
3,10,323,16,8,6,BO_183,BO_198,100,50,16.66666667
3,10,324,16,9,1,BO_088,BO_140,109,54,18
3,10,325,16,10,4,BO_192,BO_127,136,68,22.66666667
3,10,326,16,11,2,BO_130,BO_161,115,57,19
3,10,327,16,12,5,BO_162,BO_164,91,45,15
3,10,328,16,13,6,BO_69,BO_145,100,50,16.66666667
3,10,329,16,14,1,BO_151,BO_56,79,39,13
3,10,330,16,15,5,BO_58,BO_81,100,50,16.66666667
3,10,331,16,16,6,BO_149,BO_185,29,14,4.666666667
3,10,332,16,17,2,BO_130,BO_120,118,59,19.66666667
