Note: Yellow cells need to be rechecked in lab or by referencing old datasheet that had data in rows that were removed from the cumulative fruit dataset because they were non-fitness. Missing data. 07282022. DO NOT INSERT OR DELETE SINGLE CELLS FOR ANY REASON PLEASE!,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg
156,5,AC_64,AC_064,8,,,,,8,23,23,48.08,7,7,7,13.37,2,3,3,9.83,,,,
158,5,AC_82,AC_082,6,,,,,3,9,9,15.21,1,1,1,1.71,,,,,,,,
158,5,AC_82,AC_082,1,,,,,,,,,2,4,,,,,,,,,,
158,5,AC_82,AC_082,10,,,,,,,,,14,46,,,,,,,,,,
169,5,AC_86,AC_086,4,,,,,1,5,5,8.88,2,2,2,4.16,,,,,,,,
159,5,AC_89,AC_089,6,,,,,3,2,2,4.62,,,,,,,,,,,,
151,5,AC_90,AC_090,3,,,,,6,19,19,35.99,6,9,9,18.12,,,,,,,,
175,5,AC_96,AC_096,1,,,,,2,5,5,8.23,,,,,,,,,,,,
161,5,AC_97,AC_097,4,,,,,4,17,,,4,18,,,,,,,,,,
161,5,AC_97,AC_097,8,,,,,2,10,,,2,5,,,,,,,,,,
161,5,AC_97,AC_097,9,,,,,8,23,23,30.04,3,3,3,4.43,1,1,1,0.8,,,,
179,5,AC_100,AC_100,9,,,,,8,18,18,29.33,5,4,4,5.28,,,,,,,,
148,5,AC_110,AC_110,5,,,,,3,14,14,11.93,4,12,12,16.53,,,,,,,,
177,5,AC_111,AC_111,8,,,,,6,15,,,2,5,,,1,1,,,,,,
177,5,AC_111,AC_111,9,,,,,2,4,4,8.21,,,,,,,,,,,,
177,5,AC_111,AC_111,10,,,,,1,0,,,1,6,,,,,,,,,,
165,5,AC_122,AC_122,6,,,,,1,0,,,,,,,,,,,,,,
170,5,AC_123,AC_123,10,,,,,1,4,4,13.63,2,9,9,19.9,,,,,,,,
163,5,AC_128,AC_128,1,,,,,8,19,19,25.94,3,8,8,10.62,,,,,,,,
144,5,AC_131,AC_131,3,,,,,2,0,,,5,8,8,18.47,2,1,1,2.93,,,,
173,5,AC_136,AC_136,3,,,,,6,8,8,10.74,2,2,2,3.74,,,,,,,,
153,5,AC_143,AC_143,8,,,,,4,2,2,4.65,1,0,,,,,,,,,,
167,5,AC_147,AC_147,7,,,,,11,58,50,57.95,6,12,12,16.13,1,1,1,1.99,,,,
150,5,AC_155,AC_155,9,,,,,7,13,13,27.33,4,2,2,2.85,1,1,1,3.42,,,,
154,5,AC_159,AC_159,1,,,,,,,,,,,,,,,,,,,,
171,5,AC_172,AC_172,7,,,,,9,20,20,29.8,7,6,6,10.16,,,,,,,,
157,5,AC_186,AC_186,6,,,,,3,7,7,6.08,2,2,2,2.59,,,,,,,,
176,5,AC_192,AC_192,2,,,,,3,3,3,7.45,,,,,,,,,,,,
172,5,AC_200,AC_200,6,,,,,6,15,15,26.54,1,0,,,,,,,,,,
