Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
129,4,22L,G1,-,AC_005,1,,,,,,,,,,,,,,,,,,,,,,,,
129,4,22R,G2,X,AC_172,4,,,,,,,,,,,,,,,,,,,,,,,,
130,4,23R,G1,-,AC_120,5,,,,,,,,,,,,,,,,,,,,,,,,
131,4,24L,G1,-,AC_123,4,,,,,,,,,,,,,,,,,,,,,,,,
132,4,25R,G1,-,AC_130,3,,,,,,,,,,,,,,,,,,,,,,,,
133,4,26L,G1,-,AC_100,4,,,,,,,,,,,,,,,,,,,,,,,,
133,4,26R,G2,X,AC_051,2,,,,,,,,,,,,,,,,,,,,,,,,
134,4,27L,G1,-,AC_208,4,,,,,,,,,,,,,,,,,,,,,,,,
134,4,27R,G2,X,AC_040,5,,,,,,,,,,,,,,,,,,,,,,,,
135,4,28L,G1,-,AC_070,2,,,,,,,,,,,,,,,,,,,,,,,,
135,4,28R,G1,-,AC_040,3,,,,,,,,,,,,,,,,,,,,,,,,
136,4,29L,G1,-,AC_203,3,,,,,,,,,,,,,,,,,,,,,,,,
136,4,29R,G1,-,AC_216,5,,,,,,,,,,,,,,,,,,,,,,,,
137,4,30L,G2,X,AC_143,5,,,,,,,,,,,,,,,,,,,,,,,,
137,4,30R,G1,-,AC_204,4,,,,,,,,,,,,,,,,,,,,,,,,
138,4,31L,G2,X,AC_095,1,,,,,,,,,,,,,,,,,,,,,,,,
