Transect,Segment,Sequence,position,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,Date_1,N_closed_fruit_D1,N_open_fruit_D1,N_other_fruit_D1,N_total_seeds_D1,N_filled_seeds_D1,Date_2,N_closed_fruit_D2,N_open_fruit_D2,N_other_fruit_D2,N_total_seeds_D2,N_filled_seeds_D2,Date_3,N_closed_fruit_D3,N_open_fruit_D3,N_total_seeds_D3,N_filled_seeds_D3,Date_4,N_closed_fruit_D4,N_open_fruit_D4,N_other_fruit_D3,N_total_seeds_D4,N_filled_seeds_D4,Date_5,N_closed_fruit_D5,N_open_fruit_D5,N_other_fruit_D4,N_total_seeds_D5,N_filled_seeds_D5,notes
3,3,75,L,G2,X,AC_089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,75,R,G1,-,AC_190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,76,L,G2,X,AC_197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,76,R,G1,-,AC_057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,77,L,G2,X,AC_197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,77,R,G1,-,AC_159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,78,L,G1,-,AC_082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,78,R,G2,X,AC_096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,79,L,G1,-,AC_099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,79,R,G2,X,AC_154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,80,L,G1,-,AC_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,80,R,G2,X,AC_181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,81,L,G1,-,AC_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,81,R,G1,-,AC_187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,82,L,G1,-,AC_094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,82,R,G2,X,AC_190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,83,L,G2,X,AC_148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,83,R,G1,-,AC_096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,84,L,G2,X,AC_068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,84,R,G1,-,AC_057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,85,L,G2,X,AC_064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,85,R,G2,X,AC_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,86,L,G2,X,AC_075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,86,R,G2,X,AC_185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,87,L,G1,-,AC_212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,87,R,G2,X,AC_088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,88,L,G2,X,AC_114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,88,R,G1,-,AC_144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,89,L,G1,-,AC_122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,89,R,G1,-,AC_159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,90,L,G2,X,AC_068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,90,R,G1,-,AC_064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,91,L,G1,-,AC_215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
