Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
235,8,11L,G2,X,BO_090,1,,,,,,,,,,,,,,,,,,,,,,,,
235,8,11R,G1,-,BO_069,3,,,,,,,,,,,,,,,,,,,,,,,,
236,8,12R,G2,X,BO_090,2,,,,,,,,,,,,,,,,,,,,,,,,
237,8,13L,G1,-,BO_164,5,,,,,,,,,,,,,,,,,,,,,,,,
238,8,14R,G1,-,BO_044,1,,,,,,,,,,,,,,,,,,,,,,,,
239,8,15R,G1,-,BO_079,2,,,,,,,,,,,,,,,,,,,,,,,,
240,8,16L,G1,-,BO_090,5,,,,,,,,,,,,,,,,,,,,,,,,
241,8,17L,G1,-,BO_149,1,,,,,,,,,,,,,,,,,,,,,,,,
242,8,18R,G1,-,BO_027,3,,,,,,,,,,,,,,,,,,,,,,,,
243,8,19L,G1,-,BO_072,4,,,,,,,,,,,,,,,,,,,,,,,,
243,8,19R,G2,X,BO_152,5,,,,,,,,,,,,,,,,,,,,,,,,
244,8,20L,G1,-,BO_008,3,,,,,,,,,,,,,,,,,,,,,,,,
244,8,20R,G2,X,BO_137,2,,,,,,,,,,,,,,,,,,,,,,,,
245,8,21L,G1,-,BO_008,2,,,,,,,,,,,,,,,,,,,,,,,,
245,8,21R,G1,-,BO_091,2,,,,,,,,,,,,,,,,,,,,,,,,
247,8,23L,G2,X,BO_149,5,,,,,,,,,,,,,,,,,,,,,,,,
248,8,24L,G2,X,BO_152,2,,,,,,,,,,,,,,,,,,,,,,,,
248,8,24R,G1,-,BO_066,4,,,,,,,,,,,,,,,,,,,,,,,,
249,8,25R,G1,-,BO_144,5,,,,,,,,,,,,,,,,,,,,,,,,
251,9,2L,G1,-,BO_032,3,,,,,,,,,,,,,,,,,,,,,,,,
251,9,2R,G1,-,BO_117,4,,,,,,,,,,,,,,,,,,,,,,,,
253,9,4L,G1,-,BO_137,5,,,,,,,,,,,,,,,,,,,,,,,,
253,9,4R,G2,X,BO_121,4,,,,,,,,,,,,,,,,,,,,,,,,
254,9,5R,G1,-,BO_134,1,,,,,,,,,,,,,,,,,,,,,,,,
255,9,6L,G1,-,BO_082,5,,,,,,,,,,,,,,,,,,,,,,,,
255,9,6R,G1,-,BO_176,5,,,,,,,,,,,,,,,,,,,,,,,,
256,9,7R,G2,X,BO_115,3,,,,,,,,,,,,,,,,,,,,,,,,
257,9,8L,G2,X,BO_155,5,,,,,,,,,,,,,,,,,,,,,,,,
257,9,8R,G2,X,BO_027,5,,,,,,,,,,,,,,,,,,,,,,,,
258,9,9L,G1,-,BO_118,1,,,,,,,,,,,,,,,,,,,,,,,,
258,9,9R,G1,-,BO_070,4,,,,,,,,,,,,,,,,,,,,,,,,
259,9,10L,G1,-,BO_127,4,,,,,,,,,,,,,,,,,,,,,,,,
259,9,10R,G1,-,BO_159,3,,,,,,,,,,,,,,,,,,,,,,,,
260,9,11L,G2,X,BO_146,1,,,,,,,,,,,,,,,,,,,,,,,,
260,9,11R,G1,-,BO_056,4,,,,,,,,,,,,,,,,,,,,,,,,
261,9,12L,G1,-,BO_105,5,,,,,,,,,,,,,,,,,,,,,,,,
261,9,12R,G1,-,BO_127,5,,,,,,,,,,,,,,,,,,,,,,,,
