Site: Bodega Bay 2022-23,,,,,,,,,
Tray,Point,Row,Positions 1-5 (left),,Positions 6-10 (right),,Pt. Latitude,Pt. Longitude,
Tray 14,92,1,G1,BB_3,G2,BB_070,38.31383,-123.06949,-123.06949
,,2,G1,BB_134,G1,BB_158,,,
,,3,G1,BB_80,G1,BB_61,,,
,93,4,G1,BB_216,G2,BB_179,38.31384,-123.06947,-123.06947
,,5,G2,BB_045,G1,BB_60,,,
,,6,G1,BB_110,G1,BB_214,,,
,94,7,G2,BB_017,G2,BB_120,38.31378,-123.06947,-123.06947
,,8,G1,BB_18,G1,BB_48,,,
,,9,G2,BB_048,G2,BB_060,,,
,95,10,G1,BB_50,G1,BB_111,38.31374,-123.06946,-123.06946
,,11,G1,BB_53,G1,BB_161,,,
,,12,G1,BB_187,G1,BB_181,,,
,96,13,G1,BB_190,G1,BB_190,38.31371,-123.06944,-123.06944
,,14,G1,BB_163,G1,BB_97,,,
,,15,G1,BB_145,G2,BB_147,,,
,97,16,G1,BB_146,G1,BB_208,38.31367,-123.0694,-123.0694
,,17,G2,BB_179,G1,BB_164,,,
,,18,G1,BB_37,G2,BB_052,,,
,98,19,G1,BB_105,G1,BB_205_B,38.31363,-123.06937,-123.06937
,,20,G1,BB_94,G1,BB_148,,,
,,21,G1,BB_69,G1,BB_87,,,
Tray 15,99,1,G2,BB_060,G2,BB_138,38.31359,-123.06928,-123.06928
,,2,G1,BB_56,G1,BB_92,,,
,,3,G1,BB_35,G1,BB_207,,,
,100,4,G1,BB_81,G2,BB_087,38.31353,-123.06927,-123.06927
,,5,G2,BB_088,G1,BB_143,,,
,,6,G1,BB_49,G1,BB_121,,,
,101,7,G2,BB_002,G1,BB_132,38.31353,-123.06926,-123.06926
,,8,G1,BB_85,G2,BB_166,,,
,,9,G2,BB_150,G1,BB_7,,,
,102,10,G1,BB_215,G1,BB_61,38.31343,-123.06924,-123.06924
,,11,G2,BB_098,G1,BB_83,,,
,,12,G1,BB_187,G2,BB_114,,,
,103,13,G1,BB_113,G1,BB_69,38.31345,-123.06918,-123.06918
,,14,G1,BB_186,G2,BB_209,,,
,,15,G2,BB_020,G2,BB_149,,,
,104,16,G1,BB_200,G1,BB_8,38.31341,-123.06912,-123.06912
,,17,G1,BB_148,G1,BB_195,,,
,,18,G1,BB_204,G2,BB_080,,,
,105,19,G1,BB_68,G2,BB_045,38.31337,-123.06906,-123.06906
,,20,G1,BB_109,G1,BB_101,,,
,,21,G1,BB_123,G2,BB_151,,,
Tray 16,106,1,G1,BB_126,G1,BB_42,38.3134,-123.06904,-123.06904
,,2,G2,BB_018,G1,BB_206,,,
,,3,G1,BB_43,G1,BB_118,,,
,107,4,G1,BB_105,G1,BB_218,38.31355,-123.06918,-123.06918
,,5,G1,BB_160,G2,BB_111,,,
,,6,G1,BB_216,G1,BB_24,,,
,108,7,G1,BB_30,,,38.31358,-123.06918,-123.06918
,,,,,,,,,
,,,,,,,,,
,109,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,110,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,111,,,,,,,,
