rowN,Location,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
155,34,102R,BB_201,G1,1,BB_201-G1-034-102R-1,155,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
156,35,103L,BB_021,G2,2,BB_021-G2-035-103L-2,156,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
157,35,103R,BB_148,G2,3,BB_148-G2-035-103R-3,157,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
158,35,104L,BB_119,G1,4,BB_119-G1-035-104L-4,158,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
159,35,104R,BB_019,G1,4,BB_019-G1-035-104R-4,159,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
160,35,105L,BB_046,G2,5,BB_046-G2-035-105L-5,160,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
161,35,105R,BB_008,G1,1,BB_008-G1-035-105R-1,161,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
162,36,106L,BB_185,G2,3,BB_185-G2-036-106L-3,162,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
163,36,106R,BB_046,G1,3,BB_046-G1-036-106R-3,163,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
164,36,107L,BB_010,G1,1,BB_010-G1-036-107L-1,164,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
165,36,107R,BB_159,G1,3,BB_159-G1-036-107R-3,165,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
166,36,108L,BB_101,G2,3,BB_101-G2-036-108L-3,166,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
167,36,108R,BB_154,G1,1,BB_154-G1-036-108R-1,167,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
168,37,109R,BB_018,G1,3,BB_018-G1-037-109R-3,168,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
169,37,110L,BB_153,G2,5,BB_153-G2-037-110L-5,169,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
170,37,110R,BB_077,G1,5,BB_077-G1-037-110R-5,170,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
171,37,111L,BB_205,G1,4,BB_205-G1-037-111L-4,171,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
172,37,111R,BB_121,G2,5,BB_121-G2-037-111R-5,172,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
