rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
94,2,25L,AC_154,G1,4,AC_154-G1-002-25L-4,94,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
95,2,25R,AC_122,G1,1,AC_122-G1-002-25R-1,95,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
96,2,26R,AC_197,G1,4,AC_197-G1-002-26R-4,96,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
97,2,27L,AC_058,G2,4,AC_058-G2-002-27L-4,97,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
98,2,27R,AC_014,G1,5,AC_014-G1-002-27R-5,98,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
99,2,28L,AC_054,G2,5,AC_054-G2-002-28L-5,99,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
100,2,28R,AC_133,G2,2,AC_133-G2-002-28R-2,100,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
101,2,29L,AC_107,G1,2,AC_107-G1-002-29L-2,101,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
102,2,29R,AC_046,G2,3,AC_046-G2-002-29R-3,102,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
103,2,30L,AC_088,G1,3,AC_088-G1-002-30L-3,103,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
104,2,30R,AC_114,G2,2,AC_114-G2-002-30R-2,104,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
105,2,31L,AC_200,G2,2,AC_200-G2-002-31L-2,105,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
106,2,32L,AC_074,G2,4,AC_074-G2-002-32L-4,106,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
107,2,32R,AC_046,G1,3,AC_046-G1-002-32R-3,107,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
108,2,33L,AC_187,G1,4,AC_187-G1-002-33L-4,108,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
109,2,33R,AC_182,G1,2,AC_182-G1-002-33R-2,109,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
110,2,34L,AC_095,G2,5,AC_095-G2-002-34L-5,110,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
111,2,34R,AC_092,G2,2,AC_092-G2-002-34R-2,111,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
112,2,35L,AC_205,G2,4,AC_205-G2-002-35L-4,112,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
113,2,36L,AC_158,G1,2,AC_158-G1-002-36L-2,113,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
114,3,1L,AC_052,G1,3,AC_052-G1-003-1L-3,114,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
115,3,1R,AC_113,G2,2,AC_113-G2-003-1R-2,115,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
116,3,2R,AC_038,G1,3,AC_038-G1-003-2R-3,116,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
117,3,3L,AC_089,G2,3,AC_089-G2-003-3L-3,117,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
118,3,4L,AC_197,G2,2,AC_197-G2-003-4L-2,118,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
119,3,4R,AC_057,G1,1,AC_057-G1-003-4R-1,119,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
120,3,5L,AC_197,G2,1,AC_197-G2-003-5L-1,120,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
121,3,6L,AC_082,G1,4,AC_082-G1-003-6L-4,121,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
122,3,6R,AC_096,G2,2,AC_096-G2-003-6R-2,122,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
123,3,7L,AC_099,G1,5,AC_099-G1-003-7L-5,123,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
124,3,7R,AC_154,G2,3,AC_154-G2-003-7R-3,124,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
125,3,8L,AC_010,G1,1,AC_010-G1-003-8L-1,125,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
126,3,9L,AC_005,G1,1,AC_005-G1-003-9L-1,126,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
127,3,9R,AC_187,G1,1,AC_187-G1-003-9R-1,127,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
128,3,10L,AC_094,G1,3,AC_094-G1-003-10L-3,128,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
129,3,10R,AC_190,G2,4,AC_190-G2-003-10R-4,129,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
130,3,11R,AC_096,G1,1,AC_096-G1-003-11R-1,130,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
131,3,12L,AC_068,G2,5,AC_068-G2-003-12L-5,131,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
132,3,12R,AC_057,G1,4,AC_057-G1-003-12R-4,132,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
133,3,13L,AC_064,G2,5,AC_064-G2-003-13L-5,133,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
134,3,13R,AC_100,G2,3,AC_100-G2-003-13R-3,134,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
135,3,14L,AC_075,G2,3,AC_075-G2-003-14L-3,135,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
136,3,14R,AC_185,G2,2,AC_185-G2-003-14R-2,136,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
137,3,15R,AC_088,G2,1,AC_088-G2-003-15R-1,137,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
138,3,16L,AC_114,G2,3,AC_114-G2-003-16L-3,138,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
139,3,16R,AC_144,G1,5,AC_144-G1-003-16R-5,139,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
