rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
146,2,36L,HR_176,G2,5,HR_176-G2-002-36L-5,146,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
147,2,37L,HR_193,G1,2,HR_193-G1-002-37L-2,147,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
148,2,37R,HR_195,G2,4,HR_195-G2-002-37R-4,148,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
149,2,38L,HR_166,G1,2,HR_166-G1-002-38L-2,149,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
150,2,38R,HR_173,G2,1,HR_173-G2-002-38R-1,150,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
151,2,39L,HR_152,G1,4,HR_152-G1-002-39L-4,151,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
152,2,39R,HR_142,G2,5,HR_142-G2-002-39R-5,152,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
153,2,40L,HR_115,G1,4,HR_115-G1-002-40L-4,153,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
154,2,40R,HR_058,G2,2,HR_058-G2-002-40R-2,154,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
155,2,41L,HR_023,G2,4,HR_023-G2-002-41L-4,155,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
156,2,41R,HR_192,G2,5,HR_192-G2-002-41R-5,156,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
157,2,42L,HR_067,G2,4,HR_067-G2-002-42L-4,157,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
158,2,42R,HR_133,G1,4,HR_133-G1-002-42R-4,158,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
159,2,43L,HR_067,G1,5,HR_067-G1-002-43L-5,159,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
160,2,43R,HR_038,G1,4,HR_038-G1-002-43R-4,160,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
161,2,44L,HR_101,G1,1,HR_101-G1-002-44L-1,161,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
162,2,44R,HR_079,G1,2,HR_079-G1-002-44R-2,162,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
163,2,45L,HR_175,G2,1,HR_175-G2-002-45L-1,163,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
164,2,45R,HR_121,G1,3,HR_121-G1-002-45R-3,164,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
165,3,1L,HR_088,G1,1,HR_088-G1-003-1L-1,165,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
166,3,1R,HR_012,G2,1,HR_012-G2-003-1R-1,166,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
167,3,2L,HR_193,G1,1,HR_193-G1-003-2L-1,167,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
168,3,2R,HR_011,G1,1,HR_011-G1-003-2R-1,168,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
169,3,3L,HR_112,G1,2,HR_112-G1-003-3L-2,169,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
170,3,3R,HR_056,G1,1,HR_056-G1-003-3R-1,170,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
171,3,4L,HR_018,G2,2,HR_018-G2-003-4L-2,171,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
172,3,4R,HR_020,G2,3,HR_020-G2-003-4R-3,172,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
