Location,Sequence (1-meter Segment),side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
101,303,R,G1,BB_007,3,y,,i,y
102,304,L,G1,BB_215,5,y,34.83,i,y
102,304,R,G1,BB_061,3,missing?,,,
102,305,L,G2,BB_098,3,y,10.60,c,y
102,306,R,G2,BB_114,1,y,194.56,c,y
103,307,L,G1,BB_113,4,missing?,,,
103,308,L,G1,BB_186,3,missing?,,,
103,308,R,G2,BB_209,4,y,87.73,c,y
103,309,L,G2,BB_020,2,y,14.88,i,y
103,309,R,G2,BB_149,5,y,302.65,c,y
104,310,L,G1,BB_200,2,y,371.81,c,y
104,311,L,G1,BB_148,1,y,34.82,i,y
104,312,L,G1,BB_204,5,y,158.26,c,y
104,312,R,G2,BB_080,3,y,50.41,c,y
105,313,L,G1,BB_068,2,missing?,,,
105,313,R,G2,BB_045,2,y,16.33,c,y
105,314,L,G1,BB_109,5,y,99.64,c,y
105,315,L,G1,BB_123,3,y,69.12,c,y
106,316,L,G1,BB_126,2,y,121.54,c,y
106,316,R,G1,BB_042,4,missing?,,,
106,317,L,G2,BB_018,3,missing?,,,
106,317,R,G1,BB_206,4,missing?,,,
107,319,L,G1,BB_105,1,y,48.39,i,y
107,319,R,G1,BB_218,1,missing?,,,
107,320,L,G1,BB_160,4,missing?,,,
107,320,R,G2,BB_111,3,missing?,,,
107,321,L,G1,BB_216,2,y,109.27,c,y
107,321,R,G1,BB_024,3,missing?,,,
108,322,L,G1,BB_030,3,y,40.21,c,y
