rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
147,8,21R,BO_091,G1,2,BO_091-G1-008-21R-2,147,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
148,8,23L,BO_149,G2,5,BO_149-G2-008-23L-5,148,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
149,8,24L,BO_152,G2,2,BO_152-G2-008-24L-2,149,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
150,8,24R,BO_066,G1,4,BO_066-G1-008-24R-4,150,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
151,8,25R,BO_144,G1,5,BO_144-G1-008-25R-5,151,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
152,9,2L,BO_032,G1,3,BO_032-G1-009-2L-3,152,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
153,9,2R,BO_117,G1,4,BO_117-G1-009-2R-4,153,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
154,9,4L,BO_137,G1,5,BO_137-G1-009-4L-5,154,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
155,9,4R,BO_121,G2,4,BO_121-G2-009-4R-4,155,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
156,9,5R,BO_134,G1,1,BO_134-G1-009-5R-1,156,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
157,9,6L,BO_082,G1,5,BO_082-G1-009-6L-5,157,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
158,9,6R,BO_176,G1,5,BO_176-G1-009-6R-5,158,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
159,9,7R,BO_115,G2,3,BO_115-G2-009-7R-3,159,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
160,9,8L,BO_155,G2,5,BO_155-G2-009-8L-5,160,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
161,9,8R,BO_027,G2,5,BO_027-G2-009-8R-5,161,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
162,9,9L,BO_118,G1,1,BO_118-G1-009-9L-1,162,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
163,9,9R,BO_070,G1,4,BO_070-G1-009-9R-4,163,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
164,9,10L,BO_127,G1,4,BO_127-G1-009-10L-4,164,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
