Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
5,24,R,G1,AC_046,4,y,10.96,c,y
5,25,L,G2,AC_181,2,y,1.96,c,y
5,25,R,G2,AC_123,1,y,1.49,c,y
5,26,L,G2,AC_215,2,missing,,,
5,26,R,G1,AC_095,4,y,4.82,c,y
5,27,L,G2,AC_142,5,y,5.92,c,y
5,27,R,G2,AC_206,1,missing,,,
5,28,L,G2,AC_120,3,y,6.24,c,y
5,28,R,G2,AC_171,4,y,6.34,c,y
5,29,L,G1,AC_185,4,y,3.33,c,y
5,29,R,G1,AC_147,1,y,10.07,c,y
5,30,L,G1,AC_130,1,y,4.37,c,y
5,30,R,G1,AC_058,1,y,14.25,c,y
5,31,L,G1,AC_159,5,y,5.17,c,y
5,31,R,G2,AC_158,3,y,1.95,c,y
5,32,L,G1,AC_011,2,y,3.06,c,y
5,33,L,G1,AC_114,2,y,3.35,c,y
5,33,R,G1,AC_100,5,y,3.8,c,y
5,34,L,G1,AC_153,3,y,20.42,c,y
5,34,R,G2,AC_081,3,y,6.93,c,y
5,35,L,G2,AC_216,3,y,34.52,c,y
5,35,R,G2,AC_168,3,missing,,,
5,36,L,G1,AC_205,1,y,15.81,c,y
5,36,R,G1,AC_034,3,y,17.16,c,y
6,1,L,G1,AC_083,5,y,4.31,c,y
6,1,R,G2,AC_016,2,y,91.48,c,y
6,2,L,G1,AC_115,5,y,51.32,c,y
6,2,R,G2,AC_160,4,y,87.11,c,y
6,3,R,G1,AC_120,3,y,34.84,c,y
6,4,L,G1,AC_099,1,y,,i,y
6,4,R,G1,AC_131,4,y,19,c,y
6,5,L,G2,AC_110,3,y,0.09,i,n
6,5,R,G1,AC_054,5,y,74.07,c,y
6,6,L,G1,AC_104,2,y,2.35,c,y
6,6,R,G1,AC_171,2,y,5.42,c,y
6,7,L,G1,AC_185,3,y,14.76,c,y
6,8,L,G1,AC_187,2,y,13.46,c,y
6,9,L,G2,AC_136,2,y,46.43,c,y
6,10,L,G2,AC_187,4,y,6.91,c,y
6,11,L,G1,AC_111,5,y,0.87,c,y
6,11,R,G1,AC_095,5,y,21.94,c,y
6,13,R,G1,AC_122,5,y,5.1,c,y
6,14,L,G2,AC_197,1,y,10.4,c,y
6,14,R,G2,AC_120,3,y,6.66,c,y
6,15,L,G2,AC_213,3,y,6.21,c,y
6,15,R,G1,AC_158,5,y,7.21,c,y
6,16,L,G1,AC_109,4,y,5.9,c,y
6,17,L,G1,AC_172,3,y,0.57,c,n
6,17,R,G2,AC_143,3,y,3.49,c,y
6,18,R,G1,AC_099,2,y,1.68,c,y
6,19,R,G1,AC_066,5,y,6.69,c,y
6,20,L,G1,AC_172,4,y,,i,y
6,20,R,G2,AC_142,4,y,20.23,c,y
6,21,L,G2,AC_171,4,y,11.08,c,y
6,21,R,G2,AC_199,5,y,3.86,c,y
6,22,R,G1,AC_193,3,y,3.39,c,y
6,23,L,G2,AC_115,1,y,118.47,i,y
6,23,R,G1,AC_062,5,y,29.32,c,y
6,24,R,G1,AC_189,3,y,10.48,c,y
6,25,L,G2,AC_090,1,y,3.52,c,y
6,25,R,G1,AC_055,5,y,19.46,c,y
6,26,R,G2,AC_208,1,y,4.25,c,y
6,27,L,G2,AC_182,2,y,10.41,c,y
6,27,R,G1,AC_130,5,y,8.88,c,y
6,28,L,G2,AC_016,2,y,7.47,c,y
6,28,R,G2,AC_131,5,y,20.53,c,y
6,29,L,G2,AC_086,2,y,7.78,c,y
6,29,R,G2,AC_186,1,y,2.36,c,y
6,30,L,G2,AC_052,3,y,,i,y
6,30,R,G2,AC_158,5,y,4.84,c,y
6,31,L,G2,AC_034,3,y,3.39,c,y
6,31,R,G1,AC_171,5,y,3.81,c,y
6,33,R,G1,AC_182,3,y,2.56,c,y
6,34,L,G1,AC_128,1,y,5.1,c,y
6,34,R,G2,AC_147,4,y,,i,y
6,35,R,G1,AC_118,5,y,0.33,i,n
7,1,L,G1,AC_142,3,y,,i,n
7,2,L,G2,AC_072,5,y,,i,n
