Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,46,5,1,1,HR_006,HR_162,G1,R,2,TRUE,TRUE,TRUE,2,"5,2,8",2021-12-06,2021-11-10,2021-11-19,2022-04-14,2022-05-05,21,129,155,146,19.506,19.506,235.732,235.732,NA,NA,NA,NA,80.6,4.73,17.040169133192386,0.05868486352357321,57.18,57.18,-31.2,-31.2,3.61,10,0,10,10,0,NA,NA,0,0,0,1,1,1,1,0
2022,47,7,1,2,HR_100,HR_195,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-11-19,2021-11-10,2021-11-19,2022-04-14,2022-04-20,6,146,155,146,12.235,12.235,93.653,93.653,NA,NA,NA,NA,37.647,2.77,13.590974729241877,0.07357823996599995,30.61,30.61,-31.27,-31.27,2.44,7,1,8,4,11,3.360833333333334,1.4295342092988037,1.5714285714285714,12.571428571428571,13,1,1,1,1,1
2022,48,4,1,2,HR_088,HR_014,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-20,20,115,141,132,23.013,23.013,335.051,335.051,NA,NA,NA,NA,32.672,1.7,19.218823529411765,0.05203232125367287,NA,NA,-30.33,-30.33,2.06,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,49,1,1,2,HR_148,HR_050,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-11-19,2021-11-10,2021-11-19,2022-03-24,2022-04-14,21,125,134,125,22.099,22.099,305.403,305.403,NA,NA,NA,NA,46.373,3.15,14.7215873015873,0.06792745778793695,36.32,36.32,-29.81,-29.81,3.02,11,1,12,5,14,4.3069444444444445,0.6354265481927459,1.2727272727272727,15.272727272727273,15,1,1,1,1,1
2022,50,6,1,2,HR_175,HR_027,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-20,27,108,134,125,23.37,23.37,332.921,332.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,51,7,1,2,HR_157,HR_085,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,26.863,26.863,464.299,464.299,NA,NA,NA,NA,38.244,3.08,12.416883116883117,0.08053550883798766,118.36,118.36,-31.48,-31.48,2.74,30,5,35,12,42,2.782928571428571,0.5835761846282849,1.4,49,49,1,1,1,1,1
2022,52,3,1,2,HR_141,HR_015,G1,R,6,TRUE,TRUE,TRUE,6,"6,3,7",2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,23.131,23.131,313.631,313.631,NA,NA,NA,NA,71.504,4.64,15.41034482758621,0.06489147460281941,80.49,80.49,-30.91,-30.91,3.39,5,7,12,0,5,1.6300000000000001,NA,1,12,12,1,1,1,1,1
2022,53,4,1,2,HR_034,HR_112,G1,R,3,TRUE,TRUE,TRUE,3,"5,3,7",2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,23.737,23.737,351.041,351.041,NA,NA,NA,NA,42.324,2.84,14.902816901408451,0.06710140818448161,123.33,123.33,-30.13,-30.13,2.97,31,4,35,0,67,2.0298322010869567,0.4723298082598943,2.161290322580645,75.64516129032258,76,1,1,1,1,1
2022,54,7,1,2,HR_005,HR_149,G1,R,1,TRUE,TRUE,TRUE,1,"1,2,4",2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-05-05,28,122,148,139,26.362,26.362,423.887,423.887,NA,NA,NA,NA,48.927,2.69,18.188475836431227,0.05497986796656243,93.27,93.27,-30.98,-30.98,3.57,29,0,29,0,5,2.6925,0.34912987077399527,0.1724137931034483,5,5,1,1,1,1,1
2022,55,1,1,2,HR_027,HR_119,G1,R,5,TRUE,TRUE,TRUE,5,"1,5,8",2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-20,27,108,134,125,24.9,24.9,383.697,383.697,NA,NA,NA,NA,31.131,2.09,14.895215311004787,0.06713565256496738,53.68,53.68,-31.22,-31.22,1.39,14,1,15,0,29,3.1203418803418805,0.2727335427858271,2.0714285714285716,31.071428571428573,31,1,1,1,1,1
