Year,Sequence,Cohort,Block,Location,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,36,1,1,12,BB_202,BB_018,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-19,2021-11-29,2021-12-02,2022-03-25,2022-04-08,14,96,116,113,27.293,27.293,460.709,460.709,NA,NA,NA,NA,NA,NA,NA,NA,61.06,61.06,-30.3,-30.3,3.28,1,2,3,0,14,3.1557142857142857,NA,14,42,42,1,1,1,1,1
2022,37,4,1,13,BB_047,BB_131,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-12,2021-11-29,2021-12-02,2022-03-11,2022-04-22,42,89,102,99,NA,NA,NA,NA,NA,NA,NA,NA,31.052,2.65,11.717735849056604,0.08534071879428055,44.29,44.29,-30.33,-30.33,1.51,1,0,1,4,4,7.04,NA,4,4,4,1,1,1,1,1
2022,38,5,1,13,BB_141,BB_029,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-12,2021-11-29,2021-12-02,2022-04-01,2022-04-22,21,110,123,120,33.478,33.478,695.946,695.946,NA,NA,NA,NA,60.499,4.71,12.8447983014862,0.07785252648804113,NA,NA,-28.34,-28.34,1.03,1,0,1,0,3,3.66,NA,3,3,3,1,1,1,1,1
2022,39,3,1,13,BB_198,BB_045,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-19,2021-11-29,2021-12-02,2022-03-25,2022-04-28,34,96,116,113,26.118,26.118,457.726,457.726,NA,NA,NA,NA,77.091,4.27,18.05409836065574,0.05538908562607826,NA,NA,NA,NA,NA,0,1,1,2,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,40,4,1,14,BB_175,BB_172,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-30,2021-11-29,2021-12-02,2022-04-01,2022-04-22,21,92,123,120,27.091,27.091,393.849,393.849,NA,NA,NA,NA,67.494,4,16.8735,0.059264527217234124,11.07,11.07,-32.24,-32.24,3.37,1,1,2,0,1,1.08,NA,1,2,2,1,1,1,1,1
2022,41,1,1,14,BB_028,BB_083,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-12,2021-11-29,2021-12-02,2022-03-17,2022-04-28,42,95,108,105,28.672,28.672,552.351,552.351,NA,NA,NA,NA,115.951,6.25,18.55216,0.053902079326612104,NA,NA,-29.59,-29.59,2.05,4,2,6,0,25,5.693015873015873,1.8725983392565648,6.25,37.5,38,1,1,1,1,1
2022,42,3,1,14,BB_011,BB_116,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-30,2021-11-29,2021-12-02,2022-04-01,2022-04-28,27,92,123,120,36.069,36.069,751.338,751.338,NA,NA,NA,NA,43.969,4.74,9.276160337552742,0.10780322499943143,12.26,12.26,-31.68,-31.68,2.51,0,1,1,4,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,43,2,1,15,BB_066,BB_019,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-19,2021-11-29,2021-12-02,2022-04-22,2022-04-22,0,124,144,141,35.97,35.97,714.629,714.629,NA,NA,NA,NA,46.395,1.74,26.663793103448278,0.0375040413837698,3.55,3.55,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,44,4,1,15,BB_099,BB_061,G1,R,8,TRUE,TRUE,TRUE,8,8,2021-12-19,2021-11-29,2021-12-02,2022-04-22,2022-05-19,27,124,144,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.4,-28.4,4.15,2,2,4,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,45,5,1,16,BB_215,BB_210,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-12,2021-11-29,2021-12-02,2022-04-01,2022-04-28,27,110,123,120,23.626,23.626,366.059,366.059,NA,NA,NA,NA,44.052,2.24,19.666071428571428,0.050848996640334154,NA,NA,-29.73,-29.73,2.1,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,46,4,1,16,BB_005,BB_166,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-05-12,48,103,116,113,18.527,18.527,221.695,221.695,NA,NA,NA,NA,66.592,2.13,31.263849765258218,0.03198582412301778,14.87,14.87,-31.88,-31.88,2.1,2,0,2,3,5,4.988,NA,2.5,5,5,1,1,1,1,1
2022,47,4,1,17,BB_005,BB_034,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-12,2021-11-29,2021-12-02,2022-03-17,2022-04-22,36,95,108,105,21.51,21.51,351.852,351.852,NA,NA,NA,NA,35.896,1.56,23.01025641025641,0.04345888121239135,11.66,11.66,-31.48,-31.48,2.47,1,0,1,0,3,6.670000000000001,NA,3,3,3,1,1,1,1,1
2022,48,5,1,17,BB_057,BB_146,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-12,2021-11-29,2021-12-02,2022-03-17,2022-04-01,15,95,108,105,27.81,27.81,539.534,539.534,NA,NA,NA,NA,160.221,11.31,14.16631299734748,0.07058999756586215,NA,NA,NA,NA,NA,2,0,2,1,12,3.3958333333333335,NA,6,12,12,1,1,1,1,1
2022,49,5,1,17,BB_091,BB_098,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-04-22,28,103,116,113,29.11,29.11,595.8,595.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.04,-31.04,3.93,1,0,1,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,50,1,1,18,BB_202,BB_101,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-19,2021-11-29,2021-12-02,2022-04-01,2022-04-28,27,103,123,120,23.47,23.47,389.905,389.905,NA,NA,NA,NA,103.307,6.49,15.917873651771957,0.06282246120785619,NA,NA,NA,NA,NA,2,0,2,5,9,1.46,NA,4.5,9,9,1,1,1,1,1
2022,51,2,1,18,BB_066,BB_052,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-04-22,28,103,116,113,26.461,26.461,397.98,397.98,NA,NA,NA,NA,103.625,6.83,15.17203513909224,0.06591073582629675,60.78,60.78,-31.23,-31.23,1.22,1,0,1,8,1,10.39,NA,1,1,1,1,1,1,1,1
