Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.8,Fl_4.13,Fl_4.21,Fl_4.28,Fl_5.5,Fl_5.12,Fl_5.20,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,2,63,BO_201,BO_199,R,2,TRUE,TRUE,TRUE,2,"2,7,4",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,NA,NA,0,NA,NA,0,0,2022-04-01,116,135,2022-04-28,27,1,1,0,0
1,2,63,BO_201,BO_199,R,4,FALSE,TRUE,TRUE,2,"2,7,4",NA,2021-12-06,2021-11-17,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-03-25,1,4,0,5,0,6,6,30,2022-03-25,109,128,2022-04-28,34,1,1,1,1
1,2,63,BO_201,BO_199,R,7,FALSE,TRUE,TRUE,2,"2,7,4",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-08,3,0,0,3,0,5,1.6666666666666667,5,2022-04-08,123,142,2022-04-08,0,1,1,1,1
1,2,64,BO_149,BO_106,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,1,2022-04-08,123,142,2022-04-08,0,1,1,1,1
1,2,65,BO_119,BO_051,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,2022-05-25,NA,2022-04-01,2,25,0,27,0,0,0,0,2022-04-01,116,135,2022-05-25,54,1,1,1,0
1,2,67,BO_194,BO_125,n,7,TRUE,FALSE,TRUE,7,7,NA,NA,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,2022-05-25,NA,2022-04-08,0,14,0,14,4,0,0,0,2022-04-01,NA,135,2022-05-25,54,0,1,1,0
1,2,68,BO_029,BO_061,n,1,TRUE,FALSE,TRUE,1,1,1 and 8 originally selected,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-08,2,20,0,22,2,2,1,22,2022-04-08,123,142,2022-05-20,42,1,1,1,1
1,2,69,BO_163,BO_072,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-28,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-08,2,0,0,2,3,2,1,2,2022-04-08,101,142,2022-04-21,13,1,1,1,1
1,2,70,BO_119,BO_017,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-01,14,18,0,32,0,21,1.5,48,2022-04-01,116,135,2022-05-20,49,1,1,1,1
1,2,71,BO_039,BO_200,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-17,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,NA,NA,NA,NA,2022-03-25,3,39,0,42,0,3,1,42,2022-03-25,109,128,2022-05-05,41,1,1,1,1
1,2,72,BO_189,BO_086,R,2,FALSE,TRUE,TRUE,7,"2,7,8",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,NA,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,10,1,0,11,0,7,0.7,7.699999999999999,2022-04-01,116,135,2022-04-28,27,1,1,1,1
1,2,72,BO_189,BO_086,R,7,TRUE,TRUE,TRUE,7,"2,7,8",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,NA,4,4,0,8,0,6,1.5,12,2022-04-01,116,135,2022-04-21,20,1,1,1,1
1,2,72,BO_189,BO_086,R,8,FALSE,TRUE,TRUE,7,"2,7,8",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-08,0,NA,NA,0,NA,NA,0,0,2022-04-01,116,135,2022-04-21,20,1,1,0,0
