Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,23,65,4,BB_130,BB_007,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,NA,0,0,2022-04-08,117,127,2022-04-08,0,1,1,0,0
1,23,66,5,BB_173,BB_044,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,0,0
1,24,67,5,BB_057,BB_200,n,5,TRUE,FALSE,TRUE,5,5,Plants 5 and 8 originally selected,2021-12-20,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,2,1,0,3,10,10,5,15,2022-03-11,81,99,2022-04-01,21,1,1,1,1
1,24,68,2,BB_197,BB_199,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-22,0,0,0,0,0,NA,0,0,2022-04-22,131,141,2022-04-22,0,1,1,0,0
1,24,69,2,BB_197,BB_211,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,0,NA,0,0,2022-04-01,110,120,2022-04-28,27,1,1,0,0
1,25,70,1,BB_100,BB_113,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,1,0,0,1,0,0,0,0,2022-03-17,95,105,2022-04-08,22,1,1,1,0
1,25,71,6,BB_188,BB_171,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-20,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,0,0,0,2,NA,0,0,2022-03-25,95,113,2022-04-08,14,1,1,0,0
1,25,72,5,BB_091,BB_094,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-20,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,1,0,0,0,2022-04-08,109,127,2022-04-08,0,1,1,0,0
1,26,73,1,BB_202,BB_025,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,0,0,2022-04-08,99,127,2022-04-08,0,1,1,0,0
1,26,74,5,BB_176,BB_059,R,3,TRUE,TRUE,TRUE,3,"2,3,4",NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-28,1,0,0,1,0,0,0,0,2022-04-08,117,127,2022-04-28,20,1,1,1,0
1,26,75,2,BB_014,BB_185,R,4,TRUE,TRUE,TRUE,4,"6,4,8",NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,2022-04-28,NA,NA,NA,NA,NA,2022-03-25,1,1,0,2,0,2,2,4,2022-03-25,103,113,2022-04-28,34,1,1,1,1
