Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,24,HR_121,HR_105,3,2021-11-19,2021-11-10,2021-11-19
1,1,24,HR_121,HR_105,4,2021-11-19,2021-11-10,2021-11-19
1,1,24,HR_121,HR_105,5,2021-12-06,2021-11-10,2021-11-19
1,1,24,HR_121,HR_105,6,NA,2021-11-10,2021-11-19
1,1,24,HR_121,HR_105,7,2021-12-06,2021-11-10,2021-11-19
1,1,24,HR_121,HR_105,8,NA,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,1,NA,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,2,NA,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,3,NA,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,4,2021-12-06,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,5,NA,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,6,NA,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,7,2021-11-19,2021-11-10,2021-11-19
1,1,25,HR_062,HR_134,8,NA,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,1,2021-12-17,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,2,2021-12-17,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,3,2021-12-06,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,4,2021-12-17,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,5,NA,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,6,NA,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,7,NA,2021-11-10,2021-11-19
1,1,26,HR_135,HR_083,8,NA,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,1,NA,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,2,NA,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,3,2021-12-17,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,4,NA,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,5,NA,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,6,NA,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,7,2021-12-17,2021-11-10,2021-11-19
1,1,27,HR_156,HR_025,8,NA,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,1,2021-12-06,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,2,2021-12-06,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,3,2021-12-06,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,4,2021-12-06,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,5,2021-12-06,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,6,2021-12-06,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,7,2021-12-06,2021-11-10,2021-11-19
1,1,28,HR_005,HR_040,8,2021-11-19,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,1,2021-12-06,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,2,2021-11-19,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,3,2021-12-06,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,4,2021-11-19,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,5,2021-12-06,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,6,2021-12-06,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,7,2021-12-06,2021-11-10,2021-11-19
1,1,29,HR_149,HR_007,8,2021-12-06,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,1,2021-12-17,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,2,NA,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,3,2021-12-17,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,4,2021-12-17,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,5,2021-12-06,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,6,2021-12-06,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,7,2021-12-06,2021-11-10,2021-11-19
1,1,30,HR_131,HR_113,8,2021-11-19,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,1,2021-12-06,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,2,2021-12-06,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,3,2021-11-19,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,4,2021-11-19,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,5,2021-12-06,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,6,2021-12-06,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,7,2021-12-17,2021-11-10,2021-11-19
1,1,31,HR_157,HR_095,8,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,1,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,2,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,3,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,4,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,5,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,6,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,7,2021-12-06,2021-11-10,2021-11-19
1,1,32,HR_131,HR_049,8,2021-12-06,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,1,2021-12-17,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,2,2021-12-17,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,3,2021-12-06,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,4,2021-12-06,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,5,2021-12-17,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,6,2021-12-06,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,7,2021-12-06,2021-11-10,2021-11-19
1,1,33,HR_062,HR_136,8,2021-12-06,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,1,2021-11-19,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,2,2021-12-06,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,3,2021-12-06,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,4,2021-12-06,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,5,2021-11-19,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,6,2021-12-06,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,7,2021-12-06,2021-11-10,2021-11-19
1,1,34,HR_110,HR_032,8,2021-12-06,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,1,2021-12-06,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,2,2021-12-06,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,3,2021-11-19,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,4,2021-12-06,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,5,2021-12-06,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,6,2021-12-06,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,7,2021-12-06,2021-11-10,2021-11-19
1,1,35,HR_057,HR_110,8,2021-12-06,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,1,2021-12-06,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,2,2021-12-06,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,3,NA,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,4,2021-12-06,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,5,2021-12-06,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,6,2021-12-06,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,7,2021-11-19,2021-11-10,2021-11-19
1,1,36,HR_059,HR_011,8,2021-12-06,2021-11-10,2021-11-19
1,1,37,HR_095,HR_178,1,2021-12-06,2021-11-10,2021-11-19
1,1,37,HR_095,HR_178,2,2021-12-06,2021-11-10,2021-11-19
1,1,37,HR_095,HR_178,3,2021-12-06,2021-11-10,2021-11-19
1,1,37,HR_095,HR_178,4,2021-12-06,2021-11-10,2021-11-19
