Sequence,Location,position,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,Notes
42,14,R,G1,BB_009,5,,,,,,,,,,,
43,15,L,G1,BB_189,1,,,,,,,,,,,
43,15,L,G1,BB_189,2,,,,,,,,,,,
43,15,L,G1,BB_189,3,,,,,,,,,,,
43,15,L,G1,BB_189,4,,,,,,,,,,,
43,15,L,G1,BB_189,5,,,,,,,,,,,
43,15,R,G1,BB_101,1,,,,,,,,,,,
43,15,R,G1,BB_101,2,,,,,,,,,,,
43,15,R,G1,BB_101,3,,,,,,,,,,,
43,15,R,G1,BB_101,4,,,,,,,,,,,
43,15,R,G1,BB_101,5,,,,,,,,,,,
44,15,L,G1,BB_154,1,,,,,,,,,,,
44,15,L,G1,BB_154,2,,,,,,,,,,,
44,15,L,G1,BB_154,3,,,,,,,,,,,
44,15,L,G1,BB_154,4,,,,,,,,,,,
44,15,L,G1,BB_154,5,,,,,,,,,,,
44,15,R,G1,BB_200,1,,,,,,,,,,,
44,15,R,G1,BB_200,2,,,,,,,,,,,
44,15,R,G1,BB_200,3,,,,,,,,,,,
44,15,R,G1,BB_200,4,,,,,,,,,,,
44,15,R,G1,BB_200,5,,,,,,,,,,,
45,15,L,G2,BB_157,1,,,,,,,,,,,
45,15,L,G2,BB_157,2,,,,,,,,,,,
45,15,L,G2,BB_157,3,,,,,,,,,,,
45,15,L,G2,BB_157,4,,,,,,,,,,,
45,15,L,G2,BB_157,5,,,,,,,,,,,
45,15,R,G2,BB_103,1,,,,,,,,,,,
45,15,R,G2,BB_103,2,,,,,,,,,,,
45,15,R,G2,BB_103,3,,,,,,,,,,,
45,15,R,G2,BB_103,4,,,,,,,,,,,
45,15,R,G2,BB_103,5,,,,,,,,,,,
46,16,L,G1,BB_071,1,,,,,,,,,,,
46,16,L,G1,BB_071,2,,,,,,,,,,,
46,16,L,G1,BB_071,3,,,,,,,,,,,
46,16,L,G1,BB_071,4,,,,,,,,,,,
46,16,L,G1,BB_071,5,,,,,,,,,,,
46,16,R,G1,BB_117,1,,,,,,,,,,,
46,16,R,G1,BB_117,2,,,,,,,,,,,
46,16,R,G1,BB_117,3,,,,,,,,,,,
46,16,R,G1,BB_117,4,,,,,,,,,,,
46,16,R,G1,BB_117,5,,,,,,,,,,,
47,16,L,G1,BB_093,1,,,,,,,,,,,
47,16,L,G1,BB_093,2,,,,,,,,,,,
47,16,L,G1,BB_093,3,,,,,,,,,,,
47,16,L,G1,BB_093,4,,,,,,,,,,,
47,16,L,G1,BB_093,5,,,,,,,,,,,
47,16,R,G1,BB_123,1,,,,,,,,,,,
47,16,R,G1,BB_123,2,,,,,,,,,,,
47,16,R,G1,BB_123,3,,,,,,,,,,,
47,16,R,G1,BB_123,4,,,,,,,,,,,
47,16,R,G1,BB_123,5,,,,,,,,,,,
48,16,L,G1,BB_119,1,,,,,,,,,,,
48,16,L,G1,BB_119,2,,,,,,,,,,,
48,16,L,G1,BB_119,3,,,,,,,,,,,
48,16,L,G1,BB_119,4,,,,,,,,,,,
48,16,L,G1,BB_119,5,,,,,,,,,,,
48,16,R,G1,BB_064,1,,,,,,,,,,,
48,16,R,G1,BB_064,2,,,,,,,,,,,
48,16,R,G1,BB_064,3,,,,,,,,,,,
48,16,R,G1,BB_064,4,,,,,,,,,,,
48,16,R,G1,BB_064,5,,,,,,,,,,,
49,17,L,G1,BB_205,1,,,,,,,,,,,
49,17,L,G1,BB_205,2,,,,,,,,,,,
49,17,L,G1,BB_205,3,,,,,,,,,,,
49,17,L,G1,BB_205,4,,,,,,,,,,,
49,17,L,G1,BB_205,5,,,,,,,,,,,
49,17,R,G2,BB_076,1,,,,,,,,,,,
49,17,R,G2,BB_076,2,,,,,,,,,,,
49,17,R,G2,BB_076,3,,,,,,,,,,,
49,17,R,G2,BB_076,4,,,,,,,,,,,
49,17,R,G2,BB_076,5,,,,,,,,,,,
50,17,L,G1,BB_151,1,,,,,,,,,,,
50,17,L,G1,BB_151,2,,,,,,,,,,,
50,17,L,G1,BB_151,3,,,,,,,,,,,
50,17,L,G1,BB_151,4,,,,,,,,,,,
50,17,L,G1,BB_151,5,,,,,,,,,,,
50,17,R,G2,BB_120,1,,,,,,,,,,,
50,17,R,G2,BB_120,2,,,,,,,,,,,
50,17,R,G2,BB_120,3,,,,,,,,,,,
50,17,R,G2,BB_120,4,,,,,,,,,,,
50,17,R,G2,BB_120,5,,,,,,,,,,,
51,17,L,G1,BB_052,1,,,,,,,,,,,
51,17,L,G1,BB_052,2,,,,,,,,,,,
51,17,L,G1,BB_052,3,,,,,,,,,,,
