Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_area_mm2,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,skel_dryweight_mg,d13C,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,76,1,1,2,BO_088,BO_050,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-03-25,2022-04-13,19,109,134,128,24.422,304.259,NA,NA,NA,NA,21.38,-29.33,3.94,1,5,6,8,3,5.739999999999999,NA,3,18,18,1,1,1,1,1
2022,77,2,1,2,BO_130,BO_174,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-11,2021-11-17,2022-03-25,2022-04-08,14,109,134,128,27.985,390.247,47.298,3.2,14.780625,0.06765613768024017,24.6,-28.93,1.09,0,2,2,5,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,79,6,1,3,BO_069,BO_201,G1,n,7,TRUE,FALSE,TRUE,7,NA,2021-12-06,2021-11-11,2021-11-17,2022-04-28,2022-05-12,14,143,168,162,NA,NA,NA,NA,NA,NA,12.91,-28.95,5.2,1,1,2,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,88,2,1,3,BO_189,BO_126,G1,R,3,TRUE,TRUE,TRUE,3,"5,6,3",2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-20,42,123,148,142,NA,NA,27.911,2.18,12.803211009174312,0.07810540647056716,24.22,-30.02,3.65,2,1,3,0,1,4.86,NA,0.5,1.5,2,1,1,1,1,1
2022,89,2,1,3,BO_199,BO_069,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-06,2021-11-11,2021-11-17,2022-04-21,2022-04-28,7,136,161,155,NA,NA,24.729,1.83,13.51311475409836,0.07400218367099357,13.14,-30.84,3.37,6,0,6,1,6,3.7116666666666664,NA,1,6,6,1,1,1,1,1
2022,90,5,1,3,BO_058,BO_123,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-05-12,41,116,141,135,NA,NA,13.708,0.87,15.75632183908046,0.0634665888532244,NA,NA,NA,0,0,0,2,0,NA,NA,NA,0,0,1,1,0,0,0
2022,91,2,1,3,BO_187,BO_150,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-28,2021-11-11,2021-11-17,2022-04-08,2022-05-12,34,101,148,142,25.835,316.749,55.099,3.27,16.849847094801223,0.059347719559338645,NA,NA,NA,1,0,1,6,0,NA,NA,0,0,0,1,1,1,1,0
2022,93,3,1,3,BO_198,BO_158,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-21,2021-11-11,2021-11-17,2022-04-08,2022-04-13,5,108,148,142,NA,NA,NA,NA,NA,NA,23.16,-29.29,3.93,1,0,1,2,0,NA,NA,0,0,0,1,1,1,1,0
2022,94,5,1,3,BO_109,BO_001,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-13,5,123,148,142,NA,NA,84.915,5.79,14.66580310880829,0.06818583289171525,NA,NA,NA,1,1,2,16,0,NA,NA,0,0,0,1,1,1,1,0
2022,95,3,1,3,BO_198,BO_100,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-13,12,116,141,135,26.673,339.755,NA,NA,NA,NA,8.88,-28.11,3.02,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,96,2,1,3,BO_022,BO_146,G1,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-11,2021-11-17,2022-03-25,2022-05-05,41,NA,134,128,28.397,487.661,NA,NA,NA,NA,NA,NA,NA,3,5,8,2,6,6.471666666666667,NA,2,16,16,0,1,1,1,1
2022,97,1,1,3,BO_088,BO_169,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-15,2021-11-11,2021-11-17,2022-04-01,2022-05-05,34,107,141,135,26.003,379.727,NA,NA,NA,NA,NA,-29.1,1.9,3,10,13,0,3,3.4233333333333333,NA,1,13,13,1,1,1,1,1
2022,98,6,1,3,BO_183,BO_116,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-04-21,2022-05-05,14,136,161,155,26.025,361.727,18.232,1.34,13.60597014925373,0.07349714787187363,NA,NA,NA,2,3,5,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,99,6,1,3,BO_040,BO_171,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-12,34,123,148,142,24.193,335.328,26.422,1.92,13.761458333333334,0.07266671712966467,NA,NA,NA,1,0,1,9,0,NA,NA,0,0,0,1,1,1,1,0
