,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,Collection Date: 2022-05-24 to 2022-05-26,,,Collection Date: 2022-06-06 to 2022-06-08,,,Collection Date: 2022-06-22,,,Collection Date: NA,,
,,,,,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Number of Open Fruits ,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,Number of days between sow and flower ,,,,,,,,,,,,,,,
37,2,AC_153,AC_153,4,4,0,7,4,1.75,7,11/04/2021,05/03/2022,180,,,,1,,0,3,,7,,,,,,
53,2,AC_158,AC_158,6,39,1,115,40,2.948717949,117.9487179,11/04/2021,04/09/2022,156,,,,9,,50,14,,23,16,,42,,,
69,2,AC_159,AC_159,3,7,3,10,10,1.428571429,14.28571429,11/04/2021,04/09/2022,156,,,,7,,10,,,,,,,,,
52,2,AC_171,AC_171,7,3,1,8,4,2.666666667,10.66666667,11/04/2021,04/21/2022,168,,,,1,,1,2,,7,,,,,,
55,2,AC_172,AC_172,3,7,0,20,7,2.857142857,20,11/04/2021,04/09/2022,156,,,,2,,11,4,,9,1,,0,,,
56,2,AC_178,AC_178,8,6,1,19,7,3.166666667,22.16666667,11/04/2021,04/09/2022,156,,,,3,,14,2,,4,1,,1,1,,0
51,2,AC_182,AC_182,9,14,2,11,16,0.7857142857,12.57142857,11/04/2021,04/21/2022,168,,,,9,,2,4,,8,1,,1,,,
67,2,AC_186,AC_186,8,6,1,25,7,4.166666667,29.16666667,11/04/2021,04/21/2022,168,,,,4,,18,2,,7,,,,,,
70,2,AC_195,AC_195,2,2,0,3,2,1.5,3,11/04/2021,04/21/2022,168,,,,2,,3,,,,,,,,,
57,2,AC_199,AC_199,4,24,7,77,31,3.208333333,99.45833333,11/04/2021,04/09/2022,156,,,,10,,15,12,,59,2,,3,,,
42,2,AC_204,AC_204,1,21,4,29,25,1.380952381,34.52380952,11/04/2021,04/21/2022,168,,,,10,,12,11,,17,,,,,,
42,2,AC_204,AC_204,2,13,1,35,14,2.692307692,37.69230769,11/04/2021,05/03/2022,180,,,,6,,14,7,,21,,,,,,
42,2,AC_204,AC_204,4,17,0,49,17,2.882352941,49,11/04/2021,04/21/2022,168,,,,8,,28,7,,17,2,,4,,,
72,2,AC_206,AC_206,6,3,1,4,4,1.333333333,5.333333333,11/04/2021,04/09/2022,156,,,,3,,4,,,,,,,,,
44,2,AC_211,AC_211,7,13,1,24,14,1.846153846,25.84615385,11/04/2021,04/21/2022,168,,,,6,,8,5,,11,2,,5,,,
43,2,AC_213,AC_213,7,8,3,12,11,1.5,16.5,11/04/2021,05/03/2022,180,,,,6,,8,2,,4,,,,,,
66,2,AC_215,AC_215,1,7,1,8,8,1.142857143,9.142857143,11/04/2021,04/09/2022,156,,,,5,,4,2,,4,,,,,,
103,3,AC_5,AC_005,1,4,0,8,4,2,8,11/04/2021,05/13/2022,190,,,,1,,5,3,,3,,,,,,
76,3,AC_10,AC_010,7,7,0,9,7,1.285714286,9,11/04/2021,,-44504,,,,5,,8,2,,1,,,,,,
