Transect,Sequence,Recipient,Plant ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,# of Anthers,Corolla area (mm^2),Maximum corolla diameter (mm),"Notes (highlight key: purple=HEIC file, orange=something wrong with data, green=where John M left off)",URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Rosette Diameter (mm),Rosette Radius (center to tip of farthest extruding leaf),Units
W1,1585,BO_166,1,,,,,,,https://drive.google.com/file/d/1mn-eXv2KpXmS7Dl0M7om9dGGFLyFkwIY/view?usp=sharing,2022-03-25,34.718,19.42,
W1,1585,BO_166,2,,,,,,,,,,,
W1,1586,BO_166,3,,,,,,,,,,,
W1,1586,BO_166,4,https://drive.google.com/file/d/1mjn4z9PJqGUIjYMbJgKQesWRHF4T9opA/view?usp=sharing,2022-03-25,,892.853,36.953,,https://drive.google.com/file/d/1mk7Y5YLnMVzD6joNgbGv6lR7dHpDYbcV/view?usp=sharing,2022-03-25,56.231,29.97,
W1,1587,BO_166,5,,,,,,,,,,,
W1,1587,BO_166,6,https://drive.google.com/file/d/17qimuYULt3OfrzjXNa8YeGgig99rr1aF/view?usp=sharing,2022-04-01,,364.028,25.631,,https://drive.google.com/file/d/1eDKyuc2SFW3VMUQz9CVPhWeVIadptMPm/view?usp=sharing,2022-04-01,39.455,21.946,
W1,1588,BO_166,7,https://drive.google.com/file/d/1man9mFWEI36ZYaffCnHNfZUWDdM4ZODa/view?usp=sharing,2022-03-25,,694.488,33.285,,https://drive.google.com/file/d/1mfP830Xror8ZBlRH8YgHvJgrkjBtgMl1/view?usp=sharing,2022-03-25,33.156,21.57,
W1,1588,BO_166,8,,,,,,,,,,,
W1,1589,BO_021,1,,,,,,,,,,,
W1,1589,BO_021,2,,,,,,,,,,,
W1,1590,BO_021,3,https://drive.google.com/file/d/1ma0iwgbE0kDHlw0DZiW71brBZznFZRHT/view?usp=sharing,2022-03-25,,,,Rosette photo,,,,,
W1,1590,BO_021,4,https://drive.google.com/file/d/1x9_Kr3UxcnfdlGQJ9wVY7oVw2emMg69f/view?usp=sharing,2022-04-01,,418.273,24.466,,https://drive.google.com/file/d/1wskCAOmItrAVh0iKiQ2pNj0OgEedDe5M/view?usp=sharing,2022-04-01,68.499,42.133,
W1,1591,BO_021,5,https://drive.google.com/file/d/1mVTn-HnIOf_sH_ippmPuEzhyJ3ViODpQ/view?usp=sharing; https://drive.google.com/file/d/1ip_G6ftCVkmRunlTpiGFI4Pv2RyK6nvw/view?usp=sharing,2022-03-25,,595.31,31.113,"2022-04-01 also listed as photo date, but only one set of measurements",https://drive.google.com/file/d/1mX5_H5E-zAoWltCaA4X0Aollo79LeKX2/view?usp=sharing,2022-03-25,88.344,50.455,
W1,1591,BO_021,6,,,,,,,,,,,
W1,1592,BO_021,7,,,,,,,,,,,
W1,1592,BO_021,8,,,,,,,,,,,
W1,1593,BO_130,1,https://drive.google.com/file/d/1mQ8Sz1VtWkS_pnoCcBSSoBvdFw96P3dE/view?usp=sharing,2022-03-25,,497.624,31.585,,https://drive.google.com/file/d/1mTdm212uRyhgI30uCyKmMbeXk5-yd8CS/view?usp=sharing,2022-03-25,58.29,32.865,
W1,1593,BO_130,2,https://drive.google.com/file/d/1DYjorAW7IOQMKdCEXkfB4TJSoiO-C6i7/view?usp=sharing,2022-04-01,,492.858,26.922,,https://drive.google.com/file/d/1OTRmFKFfsU-DHs8zWctN0r2hiJ220XQ7/view?usp=sharing,2022-04-01,88.011,54.009,
W1,1594,BO_130,3,,,,,,,,,,,
W1,1594,BO_130,4,https://drive.google.com/file/d/1mFCGX6IffxakWlDZz65njdMOWKlccDU6/view?usp=sharing,2022-03-25,,507.718,28.996,,https://drive.google.com/file/d/1mG8LgUCXGWBV6akSmlCfH8V0cvPmTawo/view?usp=sharing,2022-03-25,79.991,43.534,
W1,1595,BO_130,5,,,,,,,,,,,
W1,1595,BO_130,6,,,,,,,,,,,
W1,1596,BO_130,7,,,,,,,,,,,
W1,1596,BO_130,8,,,,,,,,,,,
W1,1597,BO_199,1,https://drive.google.com/file/d/1pCDplzHut9zV4xhZR7ZTwX-fpSvtUyOy/view?usp=sharing,2022-04-01,,373.147,24.675,,https://drive.google.com/file/d/1ydbPIfSppczhC_RE8sKrHl5bCPmX6qBw/view?usp=sharing,2022-04-01,34.428,19.582,
W1,1597,BO_199,2,,,,,,,,,,,
W1,1598,BO_199,3,,,,,,,,,,,
W1,1598,BO_199,4,,,,,,,,,,,
W1,1599,BO_199,5,https://drive.google.com/file/d/14bFJ9jkL8I74m0kbhH_FDoFc64EQiAmR/view?usp=sharing,2022-04-01,,422.381,25.604,,https://drive.google.com/file/d/19u-23VMP-nFenjJ9VYbgp8aV9S6XULsx/view?usp=sharing,2022-04-01,81.619,42.368,
W1,1599,BO_199,6,,,,,,,,,,,
W1,1600,BO_199,7,https://drive.google.com/file/d/1m5IHfSTwSdt-xQIgptM3uc_WNtYp5gfi/view?usp=sharing,2022-03-25,,382.977,25.712,,https://drive.google.com/file/d/1mDSgSEr0B7wHlX3yAYHS_i2s5ynXz97p/view?usp=sharing,2022-03-25,65.541,37.472,
W1,1600,BO_199,8,,,,,,,,,,,
W1,1601,BO_142,1,,,,,,,,,,,
W1,1601,BO_142,2,https://drive.google.com/file/d/1m3oR9_lEZaFNZnzkWd3MHvZhU7-zL94M/view?usp=sharing,2022-03-25,,301.289,22.992,,https://drive.google.com/file/d/1m4lcXa6NBqo0kKEpvTFKW47wcmMMYVPp/view?usp=sharing,2022-03-25,19.077,11.589,
W1,1602,BO_142,3,,,,,,,,,,,
W1,1602,BO_142,4,,,,,,,,,,,
W1,1603,BO_142,5,https://drive.google.com/file/d/1lYiQAlVhJee0sihTGMfFTMfp2pWJn78P/view?usp=sharing,2022-03-25,,480.509,29.809,,https://drive.google.com/file/d/1ljaWGxsvNA45peFtZqgaH7mz1lIjOSIa/view?usp=sharing,2022-03-25,54.809,31.843,
W1,1603,BO_142,6,https://drive.google.com/file/d/1lTzxooQuNkVeLWO2LSSHr83cbC3GqwpT/view?usp=sharing,2022-03-25,,540.466,29.276,,https://drive.google.com/file/d/1lU6F6SVfzdN7KDTOV96fSWYSz_GhAZ5s/view?usp=sharing,2022-03-25,48.124,30.792,
W1,1604,BO_142,7,,,,,,,,,,,
W1,1604,BO_142,8,,,,,,,,,,,
W1,1605,BO_189,1,https://drive.google.com/file/d/1lPoOa2urNH5aDMTKNCXI40An55iz4JBh/view?usp=sharing,2022-03-25,,506.765,27.443,,https://drive.google.com/file/d/1lR26UKZTXfWGHnR-LeqQYp6s8ObofcmX/view?usp=sharing,2022-03-25,50.921,26.643,mm
W1,1605,BO_189,2,,,,,,,,,,,
W1,1606,BO_189,3,,,,,,,,,,,
W1,1606,BO_189,4,,,,,,,,,,,
W1,1607,BO_189,5,,,,,,,,,,,
W1,1607,BO_189,6,https://drive.google.com/file/d/1wYsiOPX_p1Wa7BEvZNWBsy-Hzp1Ag7yE/view?usp=sharing,2022-04-08,,429.078,26.165,,https://drive.google.com/file/d/1lP4cWTiAyigi-6GZn3kOwoTqxCgV2hhf/view?usp=sharing,2022-03-25,47.104,23.679,mm
W1,1608,BO_189,7,,,,,,,https://drive.google.com/file/d/1T0d1wZJfc0uyLA9kpeu-A0vJmSZxFYud/view?usp=sharing,2022-04-01,30.347,18.54,mm
W1,1608,BO_189,8,https://drive.google.com/file/d/1K4qK1zssVVMVx9EqePUFSqlrQagrkgIy/view?usp=sharing,2022-04-01,,,26.104,distorted petals,https://drive.google.com/file/d/1okgfDKR7SUpMuah8rRljo0Ly_QGOEleF/view?usp=sharing,2022-04-01,35.704,18.15,mm
