Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
45,1,45R,G1,HR_002,HR_071,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,,,,,-,5,0,17,23,5,3.4,17,1,1,1,1
46,2,1L,G1,HR_002,HR_059,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-16,41,,2023-04-05,1,1,,84.6,-,11,0,15,19,11,1.363636364,15,1,1,1,1
46,2,1R,G2,HR_121,HR_139,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,1,,,63.67,X,14,1,33,49,15,2.357142857,35.35714286,1,1,1,1
47,2,2L,G1,HR_148,HR_114,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,10.85,-,2,0,4,8,2,2,4,1,1,1,1
47,2,2R,G2,HR_090,HR_053,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,6.81,X,1,0,0,2,1,0,0,1,1,1,0
48,2,3L,G2,HR_006,HR_146,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,2,,,83.7,X,12,6,15,66,18,1.25,22.5,1,1,1,1
48,2,3R,G1,HR_088,HR_182,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,26.38,-,12,1,16,54,13,1.333333333,17.33333333,1,1,1,1
49,2,4L,G1,HR_069,HR_156,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,15.2,-,5,0,4,14,5,0.8,4,1,1,1,1
49,2,4R,G2,HR_115,HR_026,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,22.61,X,9,1,20,28,10,2.222222222,22.22222222,1,1,1,1
50,2,5L,G2,HR_135,HR_152,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,14.18,X,8,1,14,19,9,1.75,15.75,1,1,1,1
50,2,5R,G1,HR_155,HR_009,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,7.4,-,4,1,7,8,5,1.75,8.75,1,1,1,1
51,2,6L,G2,HR_008,HR_058,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-20,,,,15.05,X,4,0,9,9,4,2.25,9,1,1,1,1
51,2,6R,G2,HR_180,HR_036,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,16.88,X,7,1,5,15,8,0.7142857143,5.714285714,1,1,1,1
52,2,7L,G1,HR_027,HR_145,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,,,,9.57,-,3,6,2,4,9,0.6666666667,6,1,1,1,1
52,2,7R,G2,HR_090,HR_126,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,,,,,8.74,X,3,3,2,12,6,0.6666666667,4,1,1,1,1
53,2,8L,G2,HR_131,HR_049,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,9.01,X,3,1,6,8,4,2,8,1,1,1,1
