Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
164,5,21L,G1,AC_015,AC_097,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,2,,,10.19,-,3,2,5,17,5,1.666666667,8.333333333,1,1,1
164,5,21R,G2,AC_169,AC_182,1,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,0,,,14.73,X,3,2,1,11,5,0.3333333333,1.666666667,1,1,1
165,5,22L,G1,AC_002,AC_160,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,2,,,14.85,-,0,3,0,0,3,0,0,1,1,0
165,5,22R,G2,AC_091,AC_204,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,0,,,2.33,X,0,1,0,0,1,0,0,1,1,0
166,5,23L,G1,AC_054,AC_155,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,1,,,2,-,0,1,0,0,1,0,0,1,1,0
167,5,24L,G2,AC_159,AC_192,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,,2,1,,23.11,X,1,1,3,3,2,3,6,1,1,1
167,5,24R,G1,AC_054,AC_046,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,,2,,,10.96,-,1,0,5,7,1,5,5,1,1,1
168,5,25L,G2,AC_096,AC_181,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,1.96,X,0,2,0,0,2,0,0,1,1,0
168,5,25R,G2,AC_045,AC_123,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,0,,,1.49,X,1,0,0,0,1,0,0,1,1,0
169,5,26L,G2,AC_071,AC_215,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,1,,,,X,3,0,3,4,3,1,3,1,1,1
169,5,26R,G1,AC_125,AC_095,4,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,0,,,4.82,-,0,3,0,0,3,0,0,1,1,0
170,5,27L,G2,AC_168,AC_142,5,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,1,,,5.92,X,2,0,7,10,2,3.5,7,1,1,1
170,5,27R,G2,AC_165,AC_206,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,1,,,,X,1,1,0,1,2,0,0,1,1,0
171,5,28L,G2,AC_169,AC_120,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,0,,,6.24,X,1,1,0,1,2,0,0,1,1,0
171,5,28R,G2,AC_179,AC_171,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,,,,6.34,X,0,4,0,0,4,0,0,1,1,0
172,5,29L,G1,AC_170,AC_185,4,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,3.33,-,1,1,4,4,2,4,8,1,1,1
172,5,29R,G1,AC_007,AC_147,1,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-04-14,0,,2023-04-14,,,,10.07,-,2,3,4,11,5,2,10,1,1,1
173,5,30L,G1,AC_107,AC_130,1,TRUE,2022-10-17,2022-10-21,,,,,,,,,,,4.37,-,1,1,0,0,2,0,0,0,1,0
173,5,30R,G1,AC_216,AC_058,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,1+,,,14.25,-,2,5,2,7,7,1,7,1,1,1
174,5,31L,G1,AC_168,AC_159,5,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,,,,,5.17,-,0,0,0,0,0,0,0,1,0,0
