Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
17,1,17R,G1,BO_069,BO_043,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17R,G1,BO_069,BO_043,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17R,G1,BO_069,BO_043,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17R,G1,BO_069,BO_043,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18L,G1,BO_073,BO_117,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18L,G1,BO_073,BO_117,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18L,G1,BO_073,BO_117,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18L,G1,BO_073,BO_117,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18L,G1,BO_073,BO_117,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18R,G1,BO_189,BO_142,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18R,G1,BO_189,BO_142,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18R,G1,BO_189,BO_142,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,2023-05-05,,,,15-Jun,
18,1,18R,G1,BO_189,BO_142,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
18,1,18R,G1,BO_189,BO_142,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,2023-05-05,,,,,,had fruit
19,1,19L,G1,BO_013,BO_141,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
19,1,19L,G1,BO_013,BO_141,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
19,1,19L,G1,BO_013,BO_141,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
19,1,19L,G1,BO_013,BO_141,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
19,1,19L,G1,BO_013,BO_141,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
19,1,19R,G1,BO_170,BO_055,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
