Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
185,6,17L,G1,BO_069,BO_201,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-05-17,1,1,,,-,5,1,8,8,6,1.6,9.6,1,1,1
186,6,18R,G1,BO_001,BO_048,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,1,2,,,-,11,4,37,47,15,3.363636364,50.45454545,1,1,1
187,6,19L,G1,BO_199,BO_069,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-05-05,,,,,-,3,2,9,11,5,3,15,1,1,1
187,6,19R,G2,BO_001,BO_048,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,0.89,X,0,0,0,0,0,0,0,1,0,0
188,6,20L,G1,BO_073,BO_117,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,5.78,-,0,2,0,0,2,0,0,1,1,0
188,6,20R,G1,BO_185,BO_071,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,1,,6.41,-,0,0,0,0,0,0,0,1,0,0
189,6,21L,G2,BO_163,BO_034,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,,,,2.23,X,0,1,0,0,1,0,0,1,1,0
190,6,23R,G1,BO_088,BO_140,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,8.59,-,2,0,10,11,2,5,10,1,1,1
192,6,25L,G2,BO_199,BO_018,2,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,,,,8.99,X,2,0,0,3,2,0,0,1,1,0
192,6,25R,G2,BO_192,BO_021,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,2,,,32.97,X,8,4,22,26,12,2.75,33,1,1,1
193,6,26L,G2,BO_029,BO_190,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,,X,0,2,0,0,2,0,0,1,1,0
194,6,27L,G1,BO_130,BO_120,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,,,,3,-,2,0,2,5,2,1,2,1,1,1
194,6,27R,G1,BO_040,BO_029,5,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,,,,,-,0,0,0,0,0,0,0,1,0,0
196,6,29R,G2,BO_189,BO_086,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,5.88,X,1,0,2,2,1,2,2,1,1,1
197,6,30L,G1,BO_005,BO_019,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,4.21,-,0,0,0,0,0,0,0,1,0,0
198,6,31L,G1,BO_130,BO_161,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,39.06,-,3,0,20,20,3,6.666666667,20,1,1,1
198,6,31R,G2,BO_033,BO_099,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-05-17,,1,,8.89,X,0,0,0,0,0,0,0,1,0,0
199,7,1L,G2,BO_065,BO_115,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-04-21,2,2,,39.59,X,5,1,30,32,6,6,36,1,1,1
199,7,1R,G2,BO_005,BO_176,4,TRUE,2022-10-31,2022-11-03,2023-06-02,214,211,2023-06-02,0,,2023-06-02,,,2,33.58,X,0,0,0,0,0,0,0,1,0,0
200,7,2R,G2,BO_162,BO_089,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2023-06-02,2023-05-17,1,2,,28.12,X,5,0,8,9,5,1.6,8,1,1,1
201,7,3L,G1,BO_185,BO_085,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2023-06-02,2023-05-05,1,1,,,-,3,0,1,3,3,0.3333333333,1,1,1,1
203,7,5L,G1,BO_088,BO_050,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,6.3,-,1,0,2,2,1,2,2,1,1,1
203,7,5R,G1,BO_183,BO_116,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,28.4,-,2,0,17,17,2,8.5,17,1,1,1
204,7,6L,G1,BO_168,BO_155,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,,2023-04-21,3,,,36.36,-,6,4,21,21,10,3.5,35,1,1,1
205,7,7L,G1,BO_033,BO_099,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,,-,1,0,0,1,1,0,0,1,1,0
206,7,8L,G2,BO_163,BO_034,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-04-21,1,2,,,X,0,0,0,0,0,0,0,1,0,0
206,7,8R,G1,BO_069,BO_043,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-06-02,2023-05-05,3,,,24.57,-,4,0,13,14,4,3.25,13,1,1,1
207,7,9L,G1,BO_001,BO_048,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,2,,,20.73,-,6,1,10,10,7,1.666666667,11.66666667,1,1,1
