Block,Location,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES
3,153,BB_145,1,1,,
3,153,BB_179,7,7,,
3,153,BB_148,8,8,,
3,154,BB_95,2,2,,
3,154,BB_205 A,5,5,,
3,154,BB_166,8,8,,
3,155,BB_147,2,2,,
3,155,BB_59,"6,7,8",6,R,
3,155,BB_157,7,7,,
3,156,BB_9,7,7,,
W2,160,BB_20,"1,6,3",NA,R,
W2,160,BB_152,"3,7,4",NA,R,
W2,160,BB_102,"5,3,4",NA,R,
